TRAPX	TRAPY
52768	120512
52800	120480
52800	120512
52800	120544
52800	120576
52800	120608
52800	120640
52800	120672
52800	120704
52832	120736
52832	120768
52832	120800
52864	120800
52864	120768
52864	120736
52832	120704
52832	120672
52832	120640
52832	120608
52832	120576
52832	120544
52832	120512
52832	120480
52800	120448
52832	120832
52832	120864
52864	121024
52864	120992
52864	120960
52864	120928
52864	120896
52896	121056
52896	121088
52928	121056
52896	120992
52928	121088
52896	120960
52896	120928
52896	120896
52896	121024
52864	120864
52864	120832
