TRAPX	TRAPY
55776	114368
55744	114400
55712	114432
55680	114464
55648	114496
55680	114528
55648	114464
55680	114464
55680	114432
55712	114432
55712	114400
55744	114368
55776	114336
55776	114368
55776	114400
55744	114432
55712	114464
55680	114496
55680	114528
55648	114528
55712	114496
55648	114560
55712	114592
55680	114592
55648	114592
55616	114560
55648	114528
55616	114528
55616	114496
55840	114304
55808	114336
55808	114304
55840	114272
55872	114272
55904	114272
55872	114304
55840	114336
55808	114368
