TRAPX	TRAPY
54432	103872
54464	103904
54496	103936
54528	103968
54560	104000
54592	104032
54592	104000
54560	103968
54528	103936
54496	103904
54464	103872
54432	103840
54496	103872
54464	103840
54528	103904
54560	103936
54592	103968
54624	103968
54464	103808
54432	103808
54400	103776
54432	103904
54400	103840
54400	103808
54400	103872
54368	103872
54624	104096
54592	104096
54624	104064
54688	104032
54656	104000
54656	103968
54624	104032
54624	104000
54656	104000
54688	103968
54624	104000
54624	104096
