TRAPX	TRAPY
58176	112544
58144	112576
58144	112608
58176	112576
58176	112608
58208	112608
58176	112640
57920	112800
57984	112800
57952	112800
58208	112640
57920	112800
57952	112800
57952	112832
57920	112832
57952	112896
58016	112864
57984	112864
57984	112896
57984	112864
57952	112864
57952	112864
57952	112800
57952	112800
57952	112800
57920	112800
57984	112768
57952	112800
58048	112800
58016	112768
58016	112800
58048	112832
58016	112832
57984	112832
58048	112768
58048	112736
58080	112768
58080	112704
58080	112736
58112	112672
58112	112704
58176	112640
58144	112672
58144	112640
58112	112640
58080	112672
58176	112672
