TRAPX	TRAPY
58016	115616
58304	115648
58304	115232
58176	115424
58016	116032
58144	115840
57888	115808
58336	116512
58336	116096
58208	116288
58272	117600
58304	118592
58176	118368
58304	118176
58432	115456
58624	115264
58752	115072
58624	114848
58496	115040
58688	115584
58848	115392
58464	116320
58688	116000
58560	115776
58528	117632
58400	117408
58656	117376
58848	117600
58400	117824
58720	118304
58848	118112
58592	118080
58720	117888
58432	118400
58656	118624
58528	118816
58784	122816
58624	122784
58368	122752
58496	122560
58752	122400
58752	121984
58432	122272
58560	121984
58912	118560
59040	118368
59008	117888
59200	118080
58912	121824
59200	121728
58976	121408
59200	121344
59040	122848
58912	122624
58880	122208
59200	122624
59072	122400
59104	122080
58912	123040
59520	116512
59392	116704
59648	116000
59808	116608
59808	116192
59680	116384
59808	115808
59424	116192
59520	116928
59648	116736
59840	116896
59712	117088
59872	119488
59744	119360
59872	119168
59744	118944
59424	121952
59936	115616
59936	116416
60128	115936
60000	116128
60224	116256
60192	116608
60352	116000
60032	116864
60192	119264
60320	119072
60192	118848
60064	119040
60288	119584
60160	119776
60000	119712
60000	119296
60000	118816
60032	119520
60288	120000
60512	119424
60416	118848
60544	119104
60608	119712
60416	119808
60992	117504
61120	117312
61216	117696
61344	117504
61344	117216
61056	117984
60928	117760
61344	117920
61408	118400
61248	118336
61472	117728
61632	117440
61536	118624
61664	118432
61536	118208
61696	118048
61760	117792
61888	118304
61728	118752
61920	118656
62752	118720
62880	118528
62720	119424
62848	119648
62848	119232
62880	118944
62720	119136
63328	118720
63008	118752
63168	118560
63392	118496
63136	119584
63392	119616
63264	119392
63200	118912
63456	118944
63328	119136
62976	119456
63072	119136
63264	119808
