TRAPX	TRAPY
56256	109760
56224	110400
56288	110080
56096	110080
56288	110688
56096	110688
56256	110976
56608	108416
56800	108416
56608	108032
56800	108032
56448	109760
56672	109760
56416	110400
56640	110400
56512	110080
56512	110688
56448	110976
56672	110976
56640	112576
56768	113536
56768	112896
56672	113248
56704	113856
56896	107648
57312	107648
57024	108416
57248	108416
57248	108064
57024	108032
57088	107648
57056	112576
56832	112576
57184	113536
56960	113536
57184	112896
56960	112896
57088	113248
56864	113248
57120	113856
56896	113856
57440	108416
57664	108416
57440	108064
57664	108064
57632	109856
57824	109856
57760	110208
57664	110560
57760	110848
57696	111136
58048	109856
58176	110208
57952	110208
58080	110560
57856	110560
58176	110848
57952	110848
58112	111136
57888	111136
58848	112736
58816	113024
58784	113344
58592	113632
58624	113280
58784	113664
58848	116576
58688	115744
58688	116448
58752	116096
58944	112448
59136	112448
59360	112448
59040	112736
59264	112736
59232	113024
59040	113056
59040	113376
59040	113696
59040	116576
59264	116576
58912	116320
59104	116320
59328	116320
59008	116032
59200	116032
58880	115744
59072	115744
59296	115744
59424	116032
