TRAPX	TRAPY
46400	113472
46400	113088
46208	113536
46400	113856
46208	113984
46400	114240
46976	112352
46784	112512
46976	112736
46976	113120
46976	113504
46784	112896
46784	113280
46816	113632
46592	113184
46592	113568
46592	112800
46976	113888
46784	114048
46592	113952
47040	115680
46656	116480
46656	116096
46848	115840
46848	116608
46848	116224
47040	116448
47040	116064
46656	116864
46656	117248
46656	117632
46848	116992
46848	117376
47040	116832
47040	117216
47168	112416
47168	112800
47168	113184
47168	113568
47168	113952
47264	115424
47456	115328
47264	116192
47264	116576
47264	115808
47456	115712
47456	116096
47456	116480
47264	116960
47456	116864
48032	111264
48032	112416
48032	112032
48032	111648
47808	111840
48096	113632
48096	114016
48096	114400
48096	115168
48096	114784
48192	111264
48384	111264
48608	111264
48192	112416
48192	112032
48192	111648
48384	112416
48384	112032
48384	111648
48608	112416
48608	112032
48608	111648
48352	113440
48576	113312
48288	114208
48288	114592
48288	113824
48480	114144
48480	114528
48480	113760
48288	115360
48288	114976
48480	115296
48480	114912
48512	116608
48320	116672
48512	116992
48512	117376
48128	117408
48320	117056
48320	117440
48160	116960
48544	118208
48544	117920
48320	117824
48832	111232
49056	111232
48832	112384
48832	112000
48832	111616
49056	111616
49056	111968
49056	112320
48736	113344
48960	113344
48736	114496
48736	113728
48736	114112
48960	113728
48960	114112
48864	116704
49024	116640
48672	116608
48864	117088
48864	117472
49024	117024
49024	117408
48672	116992
48672	117376
48864	117856
49024	117792
49024	118176
48672	117760
48672	118144
49088	119424
49216	113760
49568	115488
49568	115104
49408	118784
49408	119168
49408	119552
49248	119040
49248	119488
50080	111520
50080	111136
50080	112288
50080	111904
50080	112672
50112	114432
49920	114464
49792	114240
50112	115584
50112	114816
50112	115200
49920	115616
49920	114848
49920	115232
49760	115072
49760	115456
49760	114688
50112	115968
49920	116000
49760	116224
49760	115840
50080	117120
50016	117376
50112	118400
49888	118400
49664	118400
50112	118784
50112	119168
50112	119552
49888	118784
49888	119168
49888	119552
49664	118784
49664	119168
49664	119552
50240	111424
50240	111040
50464	111488
50464	111104
50656	111424
50656	111040
50240	112576
50240	112192
50240	111808
50464	112256
50464	111872
50656	112576
50656	112192
50656	111808
50464	112640
50272	114528
50272	115680
50272	114912
50272	115296
50496	115456
50272	116064
50496	115904
50272	117184
50208	117472
50304	118336
50304	118720
50528	118240
50528	118560
50304	119104
50304	119488
50496	119488
50880	111296
50880	110912
50880	112064
50880	111680
51104	111872
