TRAPX	TRAPY
51008	109248
51008	108800
51136	109024
50880	108992
50912	109504
51008	110208
51008	109760
51136	109984
50880	109952
50976	112512
51104	112768
51136	113312
51008	113504
50976	113056
51136	113760
51136	118432
51136	119616
51040	119008
51520	109216
51648	108992
51392	108960
51328	109408
51328	109856
51456	109632
51200	109600
51648	109664
51488	109984
51648	112512
51232	112544
51488	112384
51456	113152
51456	112704
51584	112928
51328	112896
51264	113536
51616	113472
51680	118464
51264	118688
51392	118464
51264	119424
51392	119648
51552	119264
51552	118816
51680	119040
51424	119008
51552	119904
51776	109472
51776	109920
51776	112320
51904	112544
51776	112768
51744	113280
51904	113088
51808	118720
51936	118496
51840	119424
51968	119648
51712	119616
52000	119136
51840	119872
53664	111008
53632	118368
53888	110176
53888	109728
54016	109952
53760	109920
54112	110432
54112	110880
54240	110656
53984	110624
53792	111264
53792	110816
53920	111040
53920	114208
53920	113760
54048	113984
53792	113952
54240	114592
54240	114144
54112	114336
53952	115296
53952	114848
54080	115072
53824	115040
53920	117728
53920	117280
54048	117504
53792	117472
53760	118624
53760	118176
53888	118400
54208	118432
54208	117984
54080	118176
53760	117888
54080	118848
54208	119072
53952	119040
54400	110432
54400	109984
54528	110208
54272	110176
54400	111392
54400	110944
54528	111168
54272	111136
54368	114368
54656	114400
54368	113824
54496	115264
54496	114816
54624	115040
54368	115008
54624	117728
54368	117696
54336	118208
54496	117952
54368	118720
54816	114464
54784	114048
55072	119424
55200	119648
54944	119616
55168	120256
55072	119872
54816	120576
54816	120128
54944	120352
55584	119424
55712	119648
55456	119616
55744	120224
55296	120512
55296	120064
55424	120288
55584	119872
55616	120544
55872	120480
55872	120032
56000	120256
