TRAPX	TRAPY
53120	109536
53120	109280
53120	109792
53120	110048
53120	110304
53664	109344
53664	109088
53472	109312
53472	109056
53280	109248
53280	109504
53280	108992
53664	109600
53664	109856
53664	110112
53472	109568
53472	109824
53472	110080
53280	109760
53280	110016
54240	104800
54240	105056
54240	105312
54240	104544
54016	104800
54016	105056
54016	105312
54016	104544
53792	104800
53792	105056
53792	105312
53792	104544
54240	105568
54016	105568
53792	105568
54240	106144
54240	105888
54016	105888
54016	106176
53824	105888
53824	106208
53888	109408
53888	109152
53888	109664
53888	109920
53888	110176
54656	104256
54688	104800
54688	105056
54688	105312
54688	104544
54464	104768
54464	105024
54464	105280
54464	104512
54688	105568
54464	105536
54720	106048
54720	106304
54720	105792
54464	106016
54464	106272
54464	105760
54912	104800
54912	105056
54912	105312
54912	104544
54912	105568
54944	105824
54944	106080
56800	105280
56800	105024
56608	105248
56608	104992
56416	105312
56416	105056
56800	105536
56800	105792
56800	106048
56608	105504
56608	105760
56608	106016
56416	105568
56416	105824
56416	106080
57216	105376
57216	105120
56992	105344
56992	105088
57216	105632
57216	105888
57216	106144
56992	105600
56992	105856
56992	106112
56960	108352
57152	108352
56960	108608
56960	108864
56960	109120
56960	109376
57152	108608
57152	108864
57152	109120
57152	109376
57344	108512
57536	108384
57728	108352
57344	108768
57344	109024
57344	109280
57344	109536
57536	108640
57536	108896
57536	109152
57536	109408
57728	108608
57728	108864
57728	109120
57728	109376
