TRAPX	TRAPY
58112	125920
58144	125888
58112	125888
58080	125920
58048	125920
58080	125888
58112	125856
58112	125824
58144	125856
58080	125856
58048	125888
58016	125920
58048	125888
58016	125888
58048	125856
58080	125792
58112	125792
58080	125824
57984	125920
57984	126048
58016	126016
58048	125984
58080	125952
58048	125952
58016	125984
57984	126016
57952	126016
57984	125984
58016	125952
57984	125952
57952	125984
57920	125984
57984	126016
57984	126080
58016	126080
57952	125952
57920	125984
57920	125952
57952	125952
