TRAPX	TRAPY
60896	96128
60896	96096
60896	96160
60864	96128
60864	96096
60896	96064
60864	96160
60896	96192
60960	96064
60992	96096
61024	96128
61056	96160
61088	96192
61088	96224
61056	96224
61056	96192
61024	96160
60992	96128
60960	96096
60928	96096
60960	96128
60992	96160
61024	96192
61056	96224
61024	96224
60992	96192
60960	96160
60928	96128
60928	96064
60928	96160
60960	96192
60992	96224
61120	96224
60960	96224
60928	96192
60928	96224
61056	96256
61024	96256
61056	96288
61056	96256
61088	96256
61056	96320
61024	96320
61024	96288
60992	96256
60960	96256
60992	96288
61024	96320
