TRAPX	TRAPY
52608	115616
52640	115648
52672	115680
52704	115680
52672	115648
52640	115616
52608	115584
52608	115552
52608	115520
52640	115584
52672	115616
52704	115648
52704	115616
52672	115584
52640	115552
52640	115520
52608	115488
52576	115520
52576	115552
52576	115584
52704	115712
52736	115680
52800	115680
52768	115680
52736	115648
52832	115680
52736	115744
52768	115776
52800	115776
52800	115744
52768	115744
52736	115712
52768	115712
52800	115712
52800	115808
52800	115776
52832	115744
52832	115712
