TRAPX	TRAPY
50176	102080
50208	102112
50240	102144
50272	102176
50304	102208
50336	102240
50368	102272
50400	102304
50432	102336
50464	102368
50432	102368
50400	102336
50368	102304
50336	102272
50304	102240
50272	102208
50240	102176
50208	102144
50176	102112
50496	102400
50528	102432
50560	102464
50592	102496
50624	102528
50656	102560
50656	102592
50624	102560
50592	102528
50560	102496
50528	102464
50496	102432
50464	102400
50688	102592
50720	102624
50752	102656
50784	102688
50816	102720
50848	102752
50880	102784
50912	102816
50944	102848
50976	102880
51008	102912
51040	102944
51040	102976
51008	102944
50976	102912
50944	102880
50912	102848
50880	102816
50848	102784
50816	102752
50784	102720
50752	102688
50720	102656
50688	102624
51040	103008
51008	102976
50976	102944
50944	102912
50912	102880
50880	102848
50848	102816
50816	102784
50784	102752
