TRAPX	TRAPY
49344	106336
49376	106016
49568	106304
49536	105728
49600	106816
49408	106624
50112	102080
49920	102720
49984	103104
49696	102912
49760	103200
50144	102880
50112	102496
49664	103456
49792	103680
49696	103968
49952	103456
49952	103968
50080	103744
50080	104256
50048	105440
49696	105440
49856	105696
50080	106336
49664	106048
49920	106464
49856	106240
50144	105760
49984	106016
49856	106720
49664	106560
49984	107008
49760	107008
50080	106688
50240	102304
50272	101888
50432	102080
50240	103200
50656	102912
50496	103168
50592	102624
50496	102400
50336	102592
50432	102880
50240	103488
50400	103744
50240	103936
50304	104288
50656	104288
50496	104064
50656	103808
50592	103488
50208	106112
50432	106272
50368	105856
50336	106528
50240	106848
50656	110528
50528	110112
50656	111136
50560	111424
50432	110624
50592	110880
50400	110976
50240	110816
50368	111520
50176	111488
50272	111200
50240	111776
50464	112096
50560	111808
50560	112416
50272	112160
50816	102912
50752	103232
50944	103136
51168	103008
51136	103392
50880	102592
51104	102752
51040	102496
50880	103488
51104	103904
50976	104352
50848	104160
50912	103840
51072	107232
50976	107488
50816	107296
50784	107680
50816	108352
50720	108032
50912	108032
51040	107808
51040	108256
50976	108544
51136	108768
50880	110528
50752	110272
50816	111296
50784	110848
50976	110976
50912	111552
50752	111616
50688	112128
50848	112000
51360	107264
51232	107488
51520	107424
51456	108032
51200	108064
51328	108288
51584	107744
51584	108320
51328	107744
51360	108768
51232	108544
51520	108640
51744	107904
51744	107520
