TRAPX	TRAPY
50400	100256
50432	99904
50656	99904
50624	100256
50368	100608
50304	101344
50336	100992
50592	100608
50496	101344
50528	100992
50272	101696
50464	101696
50752	101248
50784	100896
50816	100544
52192	100064
52160	100416
52128	100832
52096	101248
52384	100128
52416	99744
52576	100128
52608	99776
52224	99712
52352	100480
52544	100480
52544	100800
52320	100832
52288	101216
52512	101184
53696	102592
53728	107680
54016	101184
53824	101152
54176	101184
53952	101888
53984	101536
53760	101856
53792	101504
54112	101888
54144	101536
53760	102176
53888	102368
54144	107392
54176	107040
53952	107456
53984	107104
53760	107328
53792	106976
54112	107744
53920	107808
54368	101184
54304	101888
54336	101536
54528	107168
54336	107296
54464	107872
54496	107520
54272	108000
54304	107648
50912	108320
50688	108384
50816	108736
51584	103040
51584	103488
51808	103360
52256	107968
52320	108256
52480	107712
