TRAPX	TRAPY
51648	120736
51392	121760
51616	121760
51520	121504
51648	121248
51488	120992
51328	121376
51520	122016
51648	123840
51360	123840
51520	123552
51392	124864
51264	124608
51584	124864
51488	124576
51392	124352
51648	124352
51520	124096
51200	124192
51648	126944
51360	126944
51520	126656
51424	127968
51296	127712
51584	127968
51488	127680
51392	127456
51648	127456
51520	127200
51200	127296
51904	120768
52032	121024
51936	121408
51840	121792
51776	121504
51776	121024
51712	122048
51904	123840
51776	123584
51808	124224
51712	124608
51904	126944
51776	126688
51808	127328
51712	127712
52672	119392
52704	122944
52608	130016
52704	129760
52704	129248
52544	129600
52992	118752
53216	118784
52960	119776
52832	119552
53088	119552
52960	119296
53088	119040
52800	119040
52864	120064
52736	119808
53056	120064
53184	119808
52992	122816
53120	122592
52832	122560
53024	122304
52896	123616
52768	123360
53088	123616
53216	123360
52992	123328
52864	123072
53120	123072
52960	125792
53216	125792
53088	125536
53248	125280
52960	125280
52800	125632
53120	124992
52992	126304
52864	126048
53184	126304
53088	126016
53120	128992
52864	128960
53152	129632
53056	130016
52832	129984
52960	129760
52832	129504
52992	129248
52736	130272
52928	130272
53344	119040
53280	119424
53376	122592
53248	122336
53312	122976
53504	125280
53376	125024
53408	125664
53312	126048
53248	129248
53696	131008
53632	130592
54112	118720
54240	118432
54208	117952
54048	118304
54240	118976
54240	121632
54208	121120
54048	121472
54240	122144
54112	121888
54176	125440
54112	125024
54176	129984
53952	129952
54240	130624
54144	131008
53920	130976
53792	130752
54048	130752
53920	130496
54048	130240
53792	130240
53824	131264
54016	131264
54624	117696
54368	117664
54752	117952
54656	118336
54560	118720
54336	118688
54496	118432
54368	118176
54496	117952
54432	118976
54752	121120
54624	120864
54656	121504
54496	121632
54368	121376
54496	121120
54368	120832
54432	122144
54560	121888
54336	121856
54688	124416
54432	124896
54560	124672
54272	124672
54432	124384
54720	125056
54304	125696
54496	125696
54624	125440
54400	125408
54304	125152
54560	125152
54304	130240
54816	124672
55680	118560
55648	118048
55488	118400
55680	119072
55552	118816
55776	118784
55776	123488
56192	118048
56064	117792
56096	118432
55936	118560
55808	118304
55936	118048
55808	117760
55872	119072
56000	118816
56192	120352
56224	121376
56096	121120
56224	120864
56096	122848
56064	123872
55968	123648
56224	123648
56096	123392
56224	123168
55936	123136
55968	124160
55840	123904
56160	124160
56288	123904
56768	120768
56736	120288
56608	120640
56608	120096
56352	120608
56480	120352
56352	120064
56800	121312
56672	121056
56416	121376
56544	121120
56320	121088
56480	120864
56480	123168
56352	122912
56384	123520
57280	120288
57152	120032
57216	120672
57024	120768
56896	120512
57024	120288
56928	120000
56960	121312
57088	121056
56896	121024
