TRAPX	TRAPY
62912	121408
62944	121408
62944	121376
62944	121440
62944	121472
62880	121408
62912	121440
62912	121472
62880	121440
62880	121376
62912	121376
62944	121344
62912	121344
62944	121312
62848	121376
62880	121344
62912	121312
62944	121280
62816	121504
62816	121472
62848	121408
62848	121440
62816	121440
62976	121408
63008	121408
63040	121376
63008	121376
63040	121344
63008	121344
62976	121376
63008	121312
62976	121344
62976	121440
62976	121312
63008	121280
63040	121248
63040	121280
63040	121312
63072	121312
63072	121344
63072	121376
62976	121280
63008	121248
62976	121248
63008	121216
63104	121344
