TRAPX	TRAPY
51680	104384
51680	104480
52096	103808
52096	103840
52096	103872
51936	103872
51904	103936
51904	103968
51872	104064
51808	104160
51904	104288
51968	104224
52032	104128
52096	104032
51872	104384
52000	104352
52064	104288
52128	104224
52192	104160
52192	104128
52192	104416
51744	104608
51712	104544
51936	104448
51808	104736
51904	104736
51840	104768
51968	104736
52032	104800
52096	104832
52160	104736
52096	104672
52064	104608
52096	104544
52128	104480
52576	102048
52608	102080
52608	102048
52640	102016
52608	102016
52704	102240
52704	101952
52448	103200
52416	103392
52512	103264
52608	103328
52672	103392
52224	104096
52288	104064
52256	104352
52288	104320
52320	104288
52352	104256
52352	104000
52416	103936
52512	103968
52576	104032
52576	104160
52384	104352
52544	104256
52576	104256
52576	104224
52576	104288
52544	104416
52480	103456
52544	103520
52608	103616
52640	103712
52704	103680
52480	104480
52480	104512
52288	104448
52256	104512
52256	104576
52256	104640
52288	104576
52320	104736
52416	104832
52480	104832
52544	104576
52608	104608
52576	104864
52704	104576
52544	104864
52608	104864
52672	104928
52704	105184
52640	105024
52544	105120
52608	105312
52640	105248
52448	105248
52384	105344
52384	105440
52576	105408
52640	105440
52448	105536
52512	105600
52576	105664
52672	105728
52768	102144
52800	101888
52864	102080
52864	101824
52928	101792
52928	102016
52992	101792
53056	101856
52992	102016
53120	101920
52992	102112
53216	101984
53056	102240
52896	102208
52992	102272
52960	102336
52864	102336
53120	102176
53184	102208
53216	102304
53216	102368
52768	103392
52832	103328
52928	103328
53024	103360
52832	102496
52800	102624
52864	102720
52960	102464
52768	103616
52832	103552
52896	103520
52992	103584
53088	103456
53056	103648
53184	103520
53120	103712
53184	103744
53216	104128
53152	103904
53152	104128
53056	103936
53088	104224
52992	104000
52928	104064
53056	104288
52896	104160
52896	104192
52896	104224
52896	104256
52896	104288
53088	104384
53152	104384
53216	104352
52768	104640
52800	104736
52832	104864
52832	104992
52800	105056
52768	105120
52736	105440
52800	105376
52864	105280
52864	105312
53024	105440
52928	105184
52992	105120
53056	105088
53120	105120
53088	105408
53184	105184
53216	105280
52928	104448
52992	104576
53056	104640
53120	104608
53184	104608
52768	105728
52832	105664
52896	105600
52960	105504
52960	105504
53120	105504
53184	105760
53184	105856
53024	105600
52992	105696
52992	105824
53024	105952
53088	106048
53152	106144
53216	106208
53312	102016
53344	102112
53344	102240
53408	102272
53472	102304
53536	102304
53600	102304
53664	102336
53728	102336
53248	102432
53312	102496
53376	102560
53440	102592
53504	102624
53536	102592
53600	102560
53664	102592
53664	102688
53664	102784
53664	102912
53632	102976
53632	103104
53664	103168
53696	103264
53248	103744
53248	103520
53312	103712
53312	103488
53376	103648
53376	103456
53440	103456
53504	103488
53568	103520
53440	103712
53440	103776
53600	103616
53600	103680
53568	103648
53568	103712
53600	103744
53568	103872
53504	104000
53376	103904
53440	104096
53344	104096
53280	103936
53344	104096
53248	104096
53280	104320
53344	104320
53440	104288
53536	104256
53632	104256
53696	104384
53696	104160
53280	105344
53376	105312
53440	105248
53472	105184
53536	105120
53600	105088
53600	105248
53504	105376
53440	105440
53248	104544
53312	104512
53408	104480
53504	104480
53600	104480
53632	104448
53408	105472
53312	105600
53248	105664
53248	105920
53312	105952
53280	106240
53344	106240
53408	106208
53376	105920
53440	105856
53440	106176
53536	106080
53568	106016
53632	105952
53504	105792
53568	105728
53696	105888
53632	105632
53664	105536
53696	105472
53792	102400
53824	102464
53824	102560
53824	102656
53824	102752
53824	102848
53824	102944
53824	103040
53856	103136
53760	103328
53888	103200
53952	103200
54016	103168
54080	103104
54144	103072
54144	103360
54208	103040
54208	103360
53760	104352
53792	104096
53824	104096
53760	104096
53792	104128
53792	104384
53888	104192
53888	104320
53824	103424
53888	103488
53952	103488
54016	103456
54080	103424
54240	103584
54176	103680
54144	103744
54112	103840
54112	103968
54240	104096
54080	104096
54208	104192
54080	104224
54080	104352
54208	104320
54208	104416
53760	105376
53824	104512
53920	104448
53856	104672
53984	104576
53920	104736
54048	104640
54112	104704
54112	104800
54080	104896
53920	104832
54016	104960
53952	105024
53856	104928
53792	105024
53792	105056
53792	105088
53952	105120
54080	104480
54144	104608
54208	104640
53760	105856
54272	103040
54336	103072
54272	103360
54304	103392
54368	103168
54400	103264
54464	103296
54496	103392
54336	103456
54528	103488
54528	103584
54464	103680
54304	103552
54400	103744
54336	103808
54304	103904
54272	103968
54400	104384
54464	104384
54528	104416
54272	104448
54272	104672
54336	104448
54336	104640
54400	104608
54464	104672
54592	104480
54592	104576
54592	104672
54592	104768
54560	104864
54432	104800
54496	104960
54368	104864
54432	105024
54336	104960
