TRAPX	TRAPY
48544	110400
48416	110112
48576	109888
48544	111328
48416	111040
48576	110816
48448	110656
48448	111616
48512	114464
48384	114176
48544	113952
48576	115296
48448	115008
48608	114784
48384	114752
48480	119552
48352	119264
48512	119040
48576	120576
48448	120288
48608	120064
48384	119872
48704	110144
48960	110464
49088	110272
48960	109984
48928	110976
49088	110720
48800	110688
48704	111072
48896	111488
49056	111264
48704	111616
49056	114464
48768	114432
48928	114208
48672	114208
48800	113952
49024	113824
48736	115040
49120	115008
48896	114720
48928	115296
48640	119296
49056	119712
48768	119680
48928	119456
49056	119040
48736	120320
48896	119968
49120	120224
48928	120544
49216	111040
49280	114368
49152	114080
49280	114784
49184	119328
49248	120512
49408	120256
49280	120000
50656	110720
50624	111360
50496	111104
50208	111552
50400	111424
50592	112000
50368	112128
50528	112448
50496	111712
50272	111840
50656	118816
50624	119296
50656	120288
50912	111488
51072	111264
50784	111008
51040	111776
50720	112288
50880	112032
50752	111776
51008	112416
50816	118592
51104	119296
51008	119712
50720	119680
50880	119456
50784	119104
50944	118848
51136	120192
50848	119968
50912	120800
51072	120544
50784	120512
50944	120288
51200	111520
51232	112032
51648	116416
51456	116704
51616	117056
51392	117088
51232	119584
51264	119072
51264	120480
51296	119968
51904	116448
52064	116192
51776	116160
51936	115936
52128	117152
51840	117120
52000	116896
51744	116768
52512	116640
52224	116608
52384	116384
52576	116256
52448	115968
52608	115744
52352	116896
52672	119456
52544	119168
52704	118944
52608	120608
52640	120096
52736	116000
52832	119776
52992	119552
53184	119168
52832	119200
53056	119040
52768	120352
53216	120672
53088	120384
52960	120064
53120	119808
52896	120672
53312	119456
53472	119200
53344	118944
53248	120160
54752	119648
54624	119360
54720	120416
54656	119936
55136	119584
54912	119392
54784	119136
55136	119200
55104	120096
55264	119840
54976	119808
54848	120704
55008	120448
54880	120192
55200	120736
55456	119680
55328	119392
55456	120608
55328	120320
55488	120096
