TRAPX	TRAPY
54048	109536
54176	109312
53952	109312
54080	109120
54208	108864
54208	109888
54464	109408
54592	109184
54368	109184
54496	108992
54720	108992
54304	110112
54432	109888
54336	109696
54688	109984
54592	109760
54720	109568
54560	110176
54880	109408
54816	109760
55680	110496
55456	110496
55584	110304
55552	110720
55776	110848
55552	111040
55424	110816
56128	110496
56032	110272
55808	110272
56288	110368
55872	111072
56000	110848
55904	110656
56128	110944
56256	110752
56224	111168
56064	111296
56800	104416
56416	110560
56352	110944
56768	112448
56544	112448
56672	112256
56640	112672
56992	103872
57120	103648
56896	103648
57024	103456
57024	104416
56928	104224
57152	104288
57280	104096
56896	104640
57248	104512
57152	105152
57280	104928
57056	104928
57184	104736
57120	111584
57248	111392
56960	112224
57088	112000
56864	112000
56992	111808
57216	111808
57152	112480
57280	112288
57248	112704
56992	112832
57152	113184
57376	104288
57568	104928
57696	104704
57472	104704
57600	104512
57344	111584
57376	112480
57440	112032
57344	112992
58208	109472
57984	109472
58112	109280
58080	109696
58272	110048
58336	110816
58816	106464
58592	106464
58720	106272
58688	106688
58816	109536
58784	109952
58688	109728
58368	110272
58496	110048
58400	109856
58688	110464
58816	110272
58784	110688
58432	111040
58560	110816
58464	110624
58656	111520
58784	111296
58560	111296
58688	111104
58816	112032
58720	111808
58848	111616
58816	112544
58528	112544
58656	112320
58432	112320
58560	112128
59328	105344
59328	106240
59296	105760
59200	105536
59008	106464
59008	106208
59136	105984
58912	105984
59040	105792
58976	106880
59104	106656
58880	106656
58912	109728
58912	110464
58944	111808
59040	112544
58944	112352
58912	112768
59424	106464
59552	106240
59456	106048
59424	105536
59648	109472
59872	110464
59680	110432
59808	110208
59584	110208
59712	110016
59616	109888
59744	109664
59520	109664
59552	111392
59680	111168
59456	111168
59584	110976
59840	110880
59744	110656
59776	111456
60320	108448
60256	109472
60384	109280
60352	109696
59968	110656
59936	111200
60192	110816
60192	111136
60544	108448
60448	108256
60832	108480
60736	108256
60864	108064
60416	108672
60704	109216
60832	108992
60608	108992
60736	108800
60480	109472
60960	108256
61184	109024
61312	108800
61088	108800
61216	108608
