TRAPX	TRAPY
52128	101760
52096	103776
51744	105856
52000	106176
52192	105536
52640	103232
52384	105760
52704	108128
52832	99648
52928	100992
53024	102976
52736	104352
52928	104608
53696	98080
53632	99136
53568	100864
53376	103744
53600	104064
54080	97280
54240	99584
53824	105088
54752	97344
54560	98240
54304	101248
54688	102336
54464	105056
55136	100384
54880	100640
55040	101920
54976	102624
55072	105952
55616	98880
55360	102240
55520	101440
55296	102944
55712	105120
56128	97696
55936	100192
55872	101088
56256	100384
55808	101792
56192	101440
56736	100128
56352	100000
56320	103104
56544	102848
56736	104672
56864	101056
57056	100448
57216	101280
57248	101504
57344	100832
57792	103264
57536	103616
57664	104448
58176	102080
58240	104768
58496	7200
58624	101856
58976	103456
59648	102496
60256	102080
