TRAPX	TRAPY
51168	111200
50976	111328
50880	111584
51072	111584
50880	112256
50880	111936
51072	112256
51072	111936
51520	108352
51328	108480
51488	107968
51680	107904
51296	108096
51456	107616
51264	107744
51648	107520
51552	108800
51360	108928
51648	109248
51360	111328
51232	111584
51424	111552
51232	112256
51232	111936
51424	112224
51424	111904
52096	107488
51904	107616
52128	107808
51936	107936
52128	108192
51936	108320
51712	108256
52160	108544
51968	108672
51744	108704
51840	109120
52032	109056
52288	107392
52320	107744
52320	108096
52352	108480
52544	112480
52704	112352
52544	113152
52544	112832
52704	113024
52704	112704
52864	112480
53056	112352
52864	113152
52864	112832
53056	113024
53056	112704
53248	112480
53248	113152
53248	112832
54016	106464
54016	105792
54016	106144
54208	106304
54208	105632
54208	105984
53888	105952
53888	106304
53888	106624
54368	106464
54368	105792
54368	106144
54528	106304
54528	105632
54528	105984
54528	108480
54688	108384
54720	108096
54528	108160
54528	109152
54528	108832
54688	109056
54688	108736
54880	108512
55040	108384
54880	108160
54880	109184
54880	108864
55040	109056
55040	108736
55008	111520
55200	111520
55008	112192
55008	111872
55200	112192
55200	111872
55648	105024
55648	105376
55776	105216
55648	105696
55776	105888
55776	105568
55424	111520
55616	111552
55776	111552
55424	112192
55424	111872
55616	112224
55616	111904
55776	112224
55776	111904
55968	105056
55968	105408
56128	105216
56288	105024
56288	105376
55968	105728
56128	105888
56128	105568
56288	105696
55936	108480
55936	108832
55936	109152
56096	108640
56096	109312
56096	108992
56288	108736
56288	109088
56288	109408
56448	108768
56448	109440
56448	109120
56640	108704
56640	109376
56640	109056
57696	106208
57472	106464
57504	106176
57696	105888
57696	106880
57696	106560
57472	107136
57472	106816
57824	109632
57824	110304
57824	109984
57664	109888
57664	110560
57664	110240
57664	109568
57856	106432
57888	106112
58048	106240
57856	107104
57856	106784
58048	106912
58048	106592
58144	109664
58144	110336
58144	110016
57984	109824
57984	110496
57984	110176
58176	110656
57856	110656
