TRAPX	TRAPY
64384	105344
64384	105376
64384	105440
64384	105408
64384	105312
64384	105248
64384	105280
64352	105280
64352	105312
64384	105472
64384	105504
64384	105536
64384	105568
64416	105600
64416	105632
64416	105664
64416	105696
64384	105600
64384	105632
64384	105696
64384	105664
64384	105728
64384	105760
64384	105792
64416	105824
64416	105856
64416	105888
64416	105920
64416	105952
64448	105984
64448	106048
64384	105824
64384	105856
64384	105888
64384	105920
64384	105952
64416	106016
64416	106048
64416	105984
64448	106016
