TRAPX	TRAPY
55744	113728
55648	114176
55648	114592
55392	115424
55456	114912
55744	115296
55552	115840
56224	111008
56192	111584
56192	112096
56000	112384
56160	113376
56128	112864
55904	113152
55904	114336
55968	113760
56192	114112
56288	114592
56128	114944
56192	115392
56256	116416
56128	115808
55808	115968
56512	108608
56576	109120
56768	109536
56448	109440
56608	109856
56352	109920
56672	110400
56416	110400
56736	110976
56480	110848
56800	111424
56480	111360
56544	112288
56544	111808
56320	112608
56416	113152
56544	112832
56320	113728
56448	115424
56512	116448
56480	115872
56864	109120
56864	109888
56992	110432
57024	110976
57024	111520
56832	111904
