NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
to_exit568	1															\setting\map\map_info\huanggongdadian_1\trap\to_exit568.txt			
Hách Mẫn	0	4585	3	5	130	1	20	20	20	20	20	3		51712	103328		1		0
Hàn Thác Trụ	0	4584	3	5	130	1	20	20	20	20	20	3		51488	103072		1		
Ngô Quốc Công	0	4586	3	5	130	1	20	20	20	20	20	3		51104	103488		1		
Trương Bảo	0	4587	3	5	130	1	20	20	20	20	20	3		51008	103584		1		
Đại Thần	0	1197	3	5	130	1	20	20	20	20	20	3		50912	103680		1		
Đại Thần	0	1197	3	5	130	1	20	20	20	20	20	3		51104	104000		1		
Đại Thần	0	1197	3	5	130	1	20	20	20	20	20	3		51392	103200		1		
Đại Thần	0	1197	3	5	130	1	20	20	20	20	20	3		51296	103296		1		
Đại Thần	0	1197	3	5	130	1	20	20	20	20	20	3		51200	103392		1		
Đại Thần	0	1197	3	5	130	1	20	20	20	20	20	3		51616	103456		1		
Đại Thần	0	1197	3	5	130	1	20	20	20	20	20	3		51392	103712		1		
Đại Thần	0	1197	3	5	130	1	20	20	20	20	20	3		51296	103808		1		
Đại Thần	0	1197	3	5	130	1	20	20	20	20	20	3		51200	103904		1		
Triệu Khoách	0	4583	3	5	130	1	20	20	20	20	20	1		51808	102944		1		
Rời khỏi	0	2525	4	5	1	1	20	20	20	20	20	1		50336	104512		1		
to_huanggongyushufang	1															\setting\map\map_info\huanggongdadian_1\trap\to_huanggongyushufang.txt			
Ngự Thư Phòng Hoàng Cung	0	2525	4	5	1	1	20	20	20	20	20	1		52416	103392		1		
