TRAPX	TRAPY
56736	110208
56832	110016
56896	110336
56992	110144
58464	108416
58368	108608
58528	108736
58624	108544
58688	109728
58592	109920
58752	110048
58848	109856
58752	111520
58784	112000
58624	111808
58528	112128
58720	112352
59136	108064
59040	108256
59200	108384
59296	108192
59264	109312
58976	109376
59072	109184
59200	108992
59360	108736
59136	109632
58880	111328
59040	111552
59168	111296
59296	111520
59072	111168
58912	111744
59168	111776
59040	111968
59328	112032
59200	112224
58912	112224
59072	112512
58880	112608
59328	114592
59104	114816
58976	115008
59232	115040
59104	115232
59264	115520
59520	108416
59392	109120
59616	109248
59520	109440
59424	111328
59488	111776
59456	114400
59584	114624
59392	115328
59520	115552
59712	114912
59584	115104
59840	115136
59712	115328
59456	114816
59392	115744
59808	115712
59648	115872
59520	116064
60352	107968
60256	108160
60352	111168
60352	111584
59936	115488
60416	108288
60512	108096
60736	110752
60608	110944
60864	110976
60736	111168
60480	111392
60672	111936
60544	112128
60800	112160
60672	112352
60672	111648
60768	115200
60832	114880
60832	115616
60704	115456
61248	110400
61120	110592
61376	110624
61248	110816
61408	111456
61088	111072
61344	111200
61152	112224
61280	112448
60992	112224
60928	112576
61152	112640
60960	114656
61408	114496
61344	114272
61216	114464
61056	114336
61248	115136
61120	115328
61376	115360
61248	115552
61280	114688
61408	114912
60928	115360
61152	114912
61024	115104
61120	115744
61760	107616
61664	107808
61824	107936
61920	107744
61632	108768
61536	108960
61696	109088
61792	108896
61568	110496
61728	110688
61600	110880
61856	110912
61728	111104
61536	111264
61664	111488
61888	111488
61536	111680
61760	111872
61632	112064
61440	112160
61536	114720
