TRAPX	TRAPY
54176	125792
54240	126528
54112	126688
54240	126944
54144	126304
54240	127584
54208	127232
54720	125920
54368	126720
54560	126208
54432	126016
54304	126176
54432	126432
54592	126816
54592	127328
54464	127136
54336	127296
54464	127552
54752	127168
54816	126432
55712	126624
55584	126432
55456	126592
55584	126848
55776	127104
55680	127552
55552	127712
55680	127968
56096	126400
55968	126208
55840	126368
55968	126624
55904	126944
56032	127136
55904	127360
56256	127392
56128	127552
56256	127808
55808	127744
56384	127584
57280	126464
57152	126272
57024	126432
57152	126688
57248	127008
57728	126464
57600	126272
57472	126432
57600	126688
57376	126848
57760	127104
57504	127040
57376	127264
57792	127616
57664	127424
57536	127584
57664	127840
57888	126944
58016	127136
57888	127360
60896	124608
60768	124768
60896	125024
60704	125312
60576	125120
60448	125280
60576	125536
60864	125728
60672	125792
60800	125984
60544	125952
60672	126208
61024	124800
61344	125024
61216	125184
61344	125440
61120	125760
60992	125568
60992	125984
61920	119776
61472	125216
61920	127520
62400	115264
62272	115424
62400	115680
62208	115968
62080	115776
61952	115936
62080	116192
62336	118432
62208	118592
62336	118848
62368	119296
62240	119104
62112	119264
62240	119520
62048	119616
62176	119808
62048	120032
62400	122496
62400	123296
62208	126688
62080	126496
61952	126656
62080	126912
62176	127552
62048	127360
62048	127776
62368	126976
62240	127136
62368	127392
62912	115232
62784	115392
62912	115648
62528	115456
62784	115968
62656	115776
62528	115936
62656	116192
62944	116192
62752	118048
62624	117856
62496	118016
62624	118272
62880	118432
62752	118592
62464	118624
62880	118848
62656	122528
62528	122336
62528	122752
62880	122816
62656	123328
62528	123136
62528	123552
62752	122976
62880	123232
62944	123584
62784	126688
62656	126496
62528	126656
62656	126912
62720	127712
62592	127520
62464	127680
62592	127936
62496	127168
63040	115424
63200	116224
63072	116032
63072	116448
63008	118624
63264	122464
63136	122272
63008	122432
63136	122688
63008	123008
63200	123616
63072	123424
63072	123840
