TRAPX	TRAPY
49792	106912
49792	107296
49984	107008
49984	107392
49792	107680
49792	108064
49792	108448
49984	107776
49984	108160
49984	108544
50016	110304
49792	110112
49792	110496
50016	111072
50016	111456
50016	110688
49792	110880
49792	111264
50016	111840
49792	111648
50208	107104
50208	107488
50400	107168
50656	107136
50208	107872
50208	108256
50400	107936
50400	108320
50400	107552
50656	107904
50656	108288
50656	107520
50208	108640
50400	108704
50656	108672
50464	110368
50208	110496
50464	111136
50464	110752
50464	111520
50208	111264
50208	110880
50464	111904
50208	111648
50208	112032
50304	113600
50304	114368
50304	113984
50496	113760
50496	114528
50496	114144
50304	114752
50304	115136
50496	114912
50496	115296
50688	110336
50688	111104
50688	110720
50688	111488
50688	111872
50720	113728
50720	114496
50720	114112
50944	113792
50944	114560
50944	114176
51168	113664
51168	114432
51168	114048
50720	114880
50720	115264
50944	114944
50944	115328
51168	114816
51168	115200
51264	107456
51456	107264
51680	107360
51264	108224
51264	107840
51456	108032
51456	107648
51456	108416
51680	108128
51680	107744
51680	108512
51264	108992
51264	108608
51456	108800
51680	108896
51520	110432
51520	110048
51296	110560
51296	110176
51520	110816
51520	111200
51520	111584
51296	110944
51296	111328
51296	111712
51808	105984
52032	106176
51904	107424
51904	108192
51904	107808
52096	108224
52096	107840
51904	108960
51904	108576
52096	109376
52096	108608
52096	108992
52192	110240
51968	110208
51712	110208
52192	111008
52192	110624
52192	111392
51968	110976
51968	110592
51968	111360
51712	110976
51712	110592
51712	111360
52192	111776
51968	111744
51712	111744
52064	113504
52064	113120
52064	113888
52064	114272
52064	114656
52288	113440
52288	113056
52512	113408
52512	113024
52288	113824
52288	114208
52288	114592
52512	113792
52512	114176
52512	114560
52992	107104
53184	107232
52800	107584
53056	107808
53216	108064
53120	108768
53120	109536
53120	109152
52896	108704
52896	109472
52896	109088
53120	109920
53120	110304
52896	109856
52896	110240
52768	113472
52768	113088
53024	113536
53024	113152
52768	113856
52768	114240
52768	114624
53024	113920
53024	114304
53024	114688
53664	109280
53504	109088
53504	109472
53312	108896
53312	109280
53664	110048
53664	109664
53664	110432
53504	109856
53504	110240
53312	109664
53312	110048
53312	110432
53664	110816
53504	110624
54048	114560
54048	114176
54048	113792
54048	114944
54048	115328
54272	113632
54528	113536
54752	113312
54272	114400
54272	114016
54528	114304
54528	113920
54752	114080
54752	114464
54752	113696
54272	114784
54272	115168
54528	114688
54528	115072
54752	114848
54976	113312
54976	114080
54976	114464
54976	113696
54976	114848
