TRAPX	TRAPY
63456	115136
63456	115168
63456	115232
63456	115200
63456	115264
63456	115296
63456	115328
63456	115360
63456	115392
63456	115424
63456	115456
63456	115488
63456	115520
63456	115552
63456	115584
63456	115648
63456	115616
63456	115680
63424	115136
63424	115168
63424	115200
63424	115264
63424	115232
63424	115296
63424	115328
63424	115360
63424	115392
63424	115424
63424	115456
63424	115488
63424	115552
63424	115520
63424	115584
63424	115616
63424	115648
63424	115680
63456	115712
63424	115712
