TRAPX	TRAPY
60224	123008
60256	123008
60288	123008
60320	123008
60352	123008
60384	123008
60384	122976
60352	122976
60320	122976
60256	122976
60288	122976
60224	122976
60192	122944
60224	122944
60256	122944
60320	122944
60288	122944
60352	122944
60384	122944
60448	123008
60416	123008
60480	123008
60512	123008
60544	123008
60576	123008
60640	123008
60608	123008
60672	123008
60768	123008
60704	123008
60736	123008
60800	123008
60800	122976
60768	122976
60736	122976
60704	122976
60672	122976
60640	122976
60576	122976
60608	122976
60544	122976
60512	122976
60480	122976
60448	122976
60416	122976
60448	122944
60416	122944
60480	122944
60544	122944
60512	122944
60576	122944
60640	122944
60608	122944
60672	122944
60704	122944
60736	122944
60768	122944
60800	122944
