TRAPX	TRAPY
47552	106816
47552	107072
47552	107328
47552	107840
47552	107584
47776	106848
47776	107104
47776	107360
48000	106848
48000	107104
48000	107360
47776	107872
47776	107616
48000	107872
48000	107616
48224	107072
48224	107328
48448	107104
48448	107360
48224	108096
48224	107584
48224	107840
48448	108128
48448	107616
48448	107872
48832	105152
48832	105408
49024	105248
48832	106176
48832	105664
48832	105920
49024	106272
49024	105504
49024	105760
49024	106016
49248	105184
49248	105440
49472	105376
49248	106208
49248	105696
49248	105952
49472	106400
49472	105632
49472	105888
49472	106144
49728	105344
49728	106368
49728	105600
49728	105856
49728	106112
50208	107008
50208	107264
50464	106912
50464	107168
50464	107424
50208	108032
50208	107520
50208	107776
50464	107936
50464	107680
50528	109472
50528	110496
50528	109728
50528	109984
50528	110240
50688	107040
50688	107296
50912	106944
50912	107200
50912	107456
51136	107136
51136	107392
50688	108064
50688	107552
50688	107808
50912	107968
50912	107712
51136	108160
51136	107648
51136	107904
50976	109536
51168	109600
51168	109856
51168	110112
51168	110368
50976	110560
50976	109792
50976	110048
50976	110304
50720	109568
50720	109824
50720	110080
50720	110336
51168	110624
50720	110592
51392	109632
51392	109888
51392	110144
51392	110400
51392	110656
