TRAPX	TRAPY
52896	111040
52960	110752
52832	111328
53120	110944
53056	111232
52992	111520
53216	111456
53184	110624
53152	111744
53376	106944
53440	106656
53312	107232
53600	106848
53536	107136
53472	107424
53696	107360
53664	106528
53632	107648
53344	110816
53280	111136
53504	111072
53440	111392
53568	110784
53376	111744
54112	102272
54208	102784
54080	103392
53984	102880
53920	103168
54144	103104
53824	102688
53760	102976
53888	102400
54048	102592
53824	106720
53760	107040
53984	106976
53920	107296
54048	106688
53856	107648
54304	103392
54432	102720
54368	103040
54496	102432
54272	102464
55008	107488
55232	107360
55200	108480
54944	107776
54880	108064
55168	107680
55104	107968
55040	108256
55264	108192
55424	108480
55392	107552
55328	107872
55552	107808
55488	108128
55616	107520
