NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
Cấm Quân Bắc Doanh	0	2147	0	5	65	1	20	20	20	20	20	1	\setting\npc\droprate\droprate007.txt			\setting\map\map_info\huqiujianchi\npc\area1.txt			
Tinh Kỵ Binh	0	2149	0	5	65	1	20	20	20	20	20	1	\setting\npc\droprate\droprate007.txt			\setting\map\map_info\huqiujianchi\npc\area2.txt			
Cấm Quân Nam Doanh	0	2148	0	5	65	1	20	20	20	20	20	1	\setting\npc\droprate\droprate007.txt			\setting\map\map_info\huqiujianchi\npc\area3.txt			
Tinh Kỵ Binh	0	2149	0	5	65	1	20	20	20	20	20	1	\setting\npc\droprate\droprate007.txt			\setting\map\map_info\huqiujianchi\npc\area4.txt			
to_caishiji	1															\setting\map\map_info\huqiujianchi\trap\to_caishiji.txt			
to_hanshangucha	1															\setting\map\map_info\huqiujianchi\trap\to_hanshangucha.txt			
to_linanfu	1															\setting\map\map_info\huqiujianchi\trap\to_linanfu.txt			
Thái Thạch Cơ	0	2525	4	5	65	1	20	20	20	20	20	1		49824	117792				
Hàn Sơn Cổ Sát	0	2525	4	5	65	1	20	20	20	20	20	1		59040	101600				
Lâm An Phủ	0	2525	4	5	65	1	20	20	20	20	20	1		57568	127712				
Đằng Giác Dương	0	958	0	5	65	1	20	20	20	20	20	1	\setting\npc\droprate\droprate007.txt			\setting\map\map_info\huqiujianchi\npc\dengjiaoling.txt			
Bích Quang Thiền Sư	0	988	3	5	65	1	20	20	20	20	20	1		51328	105568				
Cách Tang Bình Thố	0	992	3	5	65	1	20	20	20	20	20	1		52384	104224				
Ma Âm Cổ	0	993	0	5	65	1	20	20	20	20	20	1		53920	103744				
Sưu Hồn Linh	0	996	0	5	65	1	20	20	20	20	20	1		53984	111296				
Tăng Nhân	0	998	0	0	65	1	20	20	20	20	20	1		53472	105728				
Tăng Nhân	0	998	0	0	65	1	20	20	20	20	20	1		53152	104416				
Tăng Nhân	0	998	0	0	65	1	20	20	20	20	20	1		52448	105280				
Tăng Nhân	0	998	0	0	65	1	20	20	20	20	20	1		51648	103936				
Hươu Con	0	597	0	0	65	1	20	20	20	20	20	1		50720	103584				
Hươu Con	0	597	0	0	65	1	20	20	20	20	20	1		51808	102944				
Hươu Con	0	597	0	0	65	1	20	20	20	20	20	1		50944	101888				
Hươu Con	0	597	0	0	65	1	20	20	20	20	20	1		51872	102720				
Thống Quân	0	589	0	5	65	1	20	20	20	20	20	1		62496	120800				
Giám Quân	0	590	0	5	65	1	20	20	20	20	20	1	\setting\npc\droprate\droprate007.txt			\setting\map\map_info\huqiujianchi\npc\jianjun.txt			
Trừ Gian Binh	0	591	0	5	65	1	20	20	20	20	20	1	\setting\npc\droprate\droprate007.txt			\setting\map\map_info\huqiujianchi\npc\chujianbing.txt			
Hộ Vệ	0	434	3	5	65	1	20	20	20	20	20	1		62464	114816				
Hộ Vệ	0	434	3	5	65	1	20	20	20	20	20	1		62656	114688				
Tần Khuê	0	606	3	5	65	1	20	20	20	20	20	1		62784	115296				
Đại Tướng Bắc Doanh	0	1010	0	5	65	1	20	20	20	20	20	1	\setting\npc\droprate\droprate007.txt			\setting\map\map_info\huqiujianchi\npc\beiyingdajiang.txt			
Đại Tướng Nam Doanh	0	1011	0	5	65	1	20	20	20	20	20	1	\setting\npc\droprate\droprate007.txt			\setting\map\map_info\huqiujianchi\npc\nanyingdajiang.txt			
Đường Cừu Chi	0	3035	0	5	65	1	20	20	20	20	20	16		62336	110592				0
Đào Đảo Chủ	0	3036	0	5	65	1	20	20	20	20	20	16		56640	103200				1
Điền Vô Đạo	0	3037	0	5	65	1	20	20	20	20	20	16		50432	124736				2
Đồng Bất Phúc	0	3038	0	5	65	1	20	20	20	20	20	16		58720	118624				3
Thích Khách Thần Bí	0	4312	0	5	65	1	20	20	20	20	20	1				\setting\map\map_info\huqiujianchi\npc\shenmicike.txt			
Thủ Lĩnh Thích Khách	0	4313	0	5	65	1	20	20	20	20	20	1				\setting\map\map_info\huqiujianchi\npc\ciketoumu.txt			
Xe ngựa	0	4572	3	5	130	1	20	20	20	20	20	1		59840	117536				
Người phương bắc kỳ lạ	0	4610	0	5	130	1	20	20	20	20	20	1		57408	116192				
