TRAPX	TRAPY
52192	123552
52608	122912
52480	123136
52576	123520
52704	123744
52704	123296
52448	123552
52320	123776
52320	123328
52512	124064
52832	122912
53088	122912
52960	123136
52832	123520
53056	123520
53184	123744
53184	123296
52992	123840
52864	124160
53312	123520
54656	123104
54528	123328
54336	123872
54592	123872
54464	123648
54464	124096
54432	124800
54688	124800
54560	124576
54336	124352
54560	125024
54816	123424
54944	123648
54944	123200
54784	123744
54784	124352
55040	124352
54912	124576
54912	124128
55008	124864
56192	125472
56192	125024
56032	125760
56352	124736
56608	124736
56480	124512
56768	124480
56320	125856
56448	125632
56480	124960
56320	125248
56704	125632
56640	125920
56448	126080
56960	124704
56832	124928
56960	125152
56896	125472
56896	125824
57120	124992
58240	120672
58336	120896
58336	125600
58720	120672
58848	120448
58496	120672
58368	120448
58752	121824
58368	121472
58624	121472
58496	121696
58496	121248
58848	120896
58848	122048
58400	124736
58656	124736
58528	124512
58816	124512
58496	125792
58752	125792
58624	125568
58528	124960
58432	125280
58816	125024
58816	125408
58624	126016
58976	120672
59008	121824
58880	121600
58912	121216
59168	121216
59040	121440
59040	120992
58944	124736
59168	124832
59104	125248
58976	125472
58976	125024
59104	125792
58976	126016
59808	123648
60096	122752
59968	122976
60320	123488
60032	123648
59904	123872
59904	123424
60160	123360
60224	123040
60320	123904
60160	124128
60352	124352
60576	123488
60448	123712
60448	123264
60480	124096
