TRAPX	TRAPY
59328	105248
59200	105536
59232	105824
59296	107072
59328	106816
59424	105312
59872	104928
59392	107136
59456	106912
60224	104416
59968	105184
60000	104672
60128	104928
60352	104512
60224	106272
59936	106368
60224	106464
60096	107392
60288	107488
60032	106496
60032	107584
60224	107808
60416	104288
60416	104736
60704	105216
60800	105344
60896	107680
60736	107840
60800	108128
61024	105344
61120	105152
61248	105536
60992	107872
61920	106848
61504	106976
61472	107200
61664	107008
61632	107328
61472	108320
61600	108320
61472	108608
61632	108640
61952	106528
62080	106944
62144	106688
62080	107552
62272	107648
62016	107904
62176	108096
