TRAPX	TRAPY
51136	109472
51040	109440
50976	109472
50944	109408
51136	109312
51008	109312
50784	109536
50848	109408
51104	109184
50944	109248
50784	109408
50848	109280
51072	109856
51168	109856
50944	109568
50912	109696
50944	109792
51040	109760
51008	109952
51072	110048
51168	110048
51136	110208
50976	110208
50944	110112
50848	109856
50912	109984
50816	109696
50848	109568
50816	110016
50848	110176
50784	109856
50720	109664
51296	109536
51264	109344
51264	109728
51200	109568
51264	109984
51360	109696
51328	109824
51392	109920
51360	110112
51264	110176
51360	109568
51456	109728
51456	110048
51520	109888
