TRAPX	TRAPY
51648	119456
51456	119584
51488	119808
51680	122304
51616	122080
51456	122432
51424	122208
51680	124576
51648	124352
51712	119680
52192	120480
52000	120608
52032	120832
51904	124448
51840	124224
52192	125344
52160	125120
52672	119360
52640	119136
52256	120704
52416	125216
52352	124992
53216	117696
53152	117472
52960	117600
52992	117824
52896	119232
52832	119008
53216	124224
53152	124000
52992	124352
52960	124128
53600	119072
53568	118848
53504	125408
53440	125184
53280	125536
53248	125312
53760	118720
53824	118944
54592	124416
54528	124192
54368	124544
54336	124320
55168	119264
55136	119040
55232	124800
55200	124576
55744	118080
55712	117856
55392	119136
55328	118912
55456	124672
55392	124448
55904	117728
55968	117952
56224	119616
56192	119392
56256	124864
56096	125216
56064	124992
56448	119488
56384	119264
56608	120640
56544	120416
56384	120768
56352	120544
56608	123584
56544	123360
56384	123712
56352	123488
56320	125088
57152	122816
57088	122592
56896	122720
56928	122944
