TRAPX	TRAPY
51168	104064
51168	104096
51168	104128
51168	104160
51168	104192
51168	104224
51168	104256
51168	104288
51168	104320
51168	104352
51168	104384
51168	104416
51168	104448
51168	104480
51200	103808
51200	103840
51200	103936
51200	103904
51200	103872
51200	103968
51200	104000
51200	104032
51232	103872
51232	103904
51232	103936
51232	103968
51232	104000
51232	104032
51200	104064
51200	104096
51200	104128
51200	104160
51200	104192
51200	104224
51200	104256
51200	104288
51200	104320
51200	104352
51200	104384
51200	104416
51200	104448
51200	104480
