TRAPX	TRAPY
62848	113184
62848	113216
62848	113248
62848	113280
62848	113312
62848	113344
62848	113376
62848	113408
62848	113440
62848	113472
62848	113504
62848	113536
62848	113568
62848	113600
62848	113632
62816	113632
62816	113600
62816	113568
62816	113536
62816	113504
62816	113472
62816	113440
62816	113408
62816	113376
62816	113344
62816	113312
62816	113280
62816	113248
62816	113216
62816	113184
62848	113664
62848	113696
62848	113728
62848	113760
62848	113792
62816	113824
62816	113792
62816	113856
62816	113760
62816	113728
62816	113696
62816	113664
