TRAPX	TRAPY
44000	100416
44512	98080
44352	98272
44512	97728
44512	98528
44192	100288
44448	100896
44192	100896
44320	101184
44480	100384
44352	100640
44096	100736
44064	101024
44480	101408
44224	101376
44896	97248
44672	97920
44864	98144
44736	97632
44896	97888
44928	97504
44672	98304
44928	98432
44800	98656
44544	100576
44928	100352
44704	100416
44896	100768
44960	101248
44736	100960
44768	101344
44608	101184
44864	103232
45024	103040
44960	102528
44864	102816
45088	98208
45280	97952
45120	97888
45216	97408
45152	97664
45088	98592
45280	98464
45088	100640
45120	102336
45504	102688
45536	103136
45344	102976
45312	102592
45376	103360
45216	103264
45152	102752
45056	103520
45856	102656
45696	102464
45952	103008
45728	102912
45824	103296
45632	103520
45888	103680
46976	100288
46816	100896
46656	100768
47040	100736
46880	100608
46976	101088
46880	101312
47008	101600
46976	101920
46688	101792
46784	101568
47104	100160
47552	99904
47296	99968
47424	100256
47136	100960
47168	101344
47520	101280
47232	100448
47488	100928
47456	100576
47296	100768
47328	101152
47104	102016
47328	101440
47360	101984
47232	101696
47488	101696
47872	100320
47680	100160
47808	100992
47680	101152
47904	100704
47648	100512
47648	100864
47680	101440
49056	97440
48896	97408
49120	98176
48928	97664
48928	98144
48800	97920
48992	101824
48992	102208
48864	102048
48704	101984
48800	101728
48928	102816
49056	103072
49088	102688
48896	102464
49632	97216
49536	96864
49184	96928
49344	96768
49376	97120
49152	97248
49568	97504
49440	97344
49408	97696
49280	97984
49312	97536
49152	97824
49152	101600
49344	101856
49600	102048
49376	102240
49184	102048
49184	102368
49504	101696
49344	101472
49216	102944
49344	102560
49536	102400
49760	96960
49856	97248
50592	95968
50464	96224
50304	96032
50432	95904
50624	96512
50624	96256
50624	100032
50624	100320
50496	100160
50560	100992
50784	96128
51168	96896
51168	97184
51040	97024
50976	96736
50720	96768
50848	96960
51104	96512
50848	96544
50944	96256
50752	100160
51008	100544
50880	100416
50880	100704
50752	100544
51168	100800
51168	101088
51040	100928
51104	100352
50816	100992
50688	100864
50688	101152
51200	96384
51392	97024
51392	96768
51360	96480
51232	100224
51296	100928
51360	100352
51232	100512
46368	98304
46336	98528
46528	98464
46432	98688
50016	98880
50272	98720
50240	98976
