TRAPX	TRAPY
46976	104224
46944	104640
46752	104448
46784	104832
46976	105024
46592	104640
47168	104416
47360	104608
47136	104832
47168	105344
47296	105152
47424	104992
47488	105408
47360	105568
47616	105248
48352	103264
48544	103456
48608	103872
48224	103488
48416	103680
48736	103648
48928	104160
49120	104352
49600	101856
49376	102080
49568	102272
49536	104896
49312	104544
50112	101184
49952	101440
50144	101632
49760	101632
49952	101824
50144	102016
49792	102048
49984	102240
49760	102464
49728	105088
49920	105280
49696	104704
49888	104896
50080	105088
50304	101376
50496	101568
50336	101824
50720	103904
50912	104096
51104	104288
50880	103680
51072	103872
51040	103456
51200	103232
51392	103040
51584	103232
51264	104064
51232	103648
51424	103840
51392	103424
51584	103616
51776	103424
47488	104000
47584	103680
47936	102688
47680	102720
47776	102400
47744	103968
48608	106240
48512	106560
48768	106528
49536	100896
49632	100576
49408	105760
49152	105792
49248	105472
49792	100864
51200	101120
51360	101056
51200	100864
52704	102368
52544	102176
52544	102432
