NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
灵壁泊	0	2525	4	5	1	1	20	20	20	20	20	1		50784	102784		1		
to_lingbipo3	1															\setting\map\map_info\jinjunmiying\trap\to_lingbipo3.txt			
乌蛮女巫	0	5177	0	5	135	1	20	20	20	20	20	1		50592	95104		1		
乌蛮女巫	0	5177	0	5	135	1	20	20	20	20	20	1		50336	95072		1		
乌蛮女巫	0	5177	0	5	135	1	20	20	20	20	20	1		50464	95328		1		
乌蛮女巫	0	5177	0	5	135	1	20	20	20	20	20	1		50624	95520		1		
乌蛮女巫	0	5177	0	5	135	1	20	20	20	20	20	1		50912	95104		1		
乌蛮女巫	0	5177	0	5	135	1	20	20	20	20	20	1		50784	95360		1		
乌蛮女巫	0	5177	0	5	135	1	20	20	20	20	20	1		50912	95520		1		
乌蛮女巫	0	5177	0	5	135	1	20	20	20	20	20	1		50784	95744		1		
乌蛮大祭司	0	5178	0	5	135	1	20	20	20	20	20	1		50528	94816		1		
乌蛮大祭司	0	5178	0	5	135	1	20	20	20	20	20	1		50656	95360		1		
乌蛮大祭司	0	5178	0	5	135	1	20	20	20	20	20	1		50720	94912		1		
乌蛮大祭司	0	5178	0	5	135	1	20	20	20	20	20	1		50880	94784		1		
巫蛊兽	0	5179	0	5	135	1	20	20	20	20	20	1		50720	94656		1		
肖毕平	0	5180	3	5	135	1	20	20	20	20	20	1		51488	102336		1		
宝龙	0	5181	0	5	135	1	20	20	20	20	20	1		50720	98624		1		
看押兵	0	5191	0	5	135	1	20	20	20	20	20	1		52320	97600		1		
看押兵	0	5191	0	5	135	1	20	20	20	20	20	1		52512	97568		1		
看押兵	0	5191	0	5	135	1	20	20	20	20	20	1		52416	97376		1		
看押兵	0	5191	0	5	135	1	20	20	20	20	20	1		52416	97760		1		
看押兵	0	5191	0	5	135	1	20	20	20	20	20	1		52640	97664		1		
看押兵	0	5191	0	5	135	1	20	20	20	20	20	1		52736	97408		1		
看押兵	0	5191	0	5	135	1	20	20	20	20	20	1		52800	97696		1		
看押兵	0	5191	0	5	135	1	20	20	20	20	20	1		52896	97536		1		
看押兵	0	5191	0	5	135	1	20	20	20	20	20	1		52960	97760		1		
看押兵	0	5191	0	5	135	1	20	20	20	20	20	1		53088	97632		1		
看押头领	0	5192	0	5	135	1	20	20	20	20	20	1		52576	97248		1		
看押头领	0	5192	0	5	135	1	20	20	20	20	20	1		53024	97408		1		
田茂全	0	5201	3	5	135	1	20	20	20	20	20	1		51776	102592		1		
夏洛	0	5202	0	5	135	1	20	20	20	20	20	1		49600	96544		1		
夏灵	0	5203	0	5	135	1	20	20	20	20	20	1		50016	95808		1		
夏罗	0	5204	0	5	135	1	20	20	20	20	20	1		49536	95808		1		
童男	0	5205	3	5	20	1	20	20	20	20	20	1		49984	95264		1		
童女	0	5206	3	5	20	1	20	20	20	20	20	1		50080	95168		1		
巫毒巨瓮	0	5207	3	5	135	1	20	20	20	20	20	1		51360	95296		1		
金军新兵	0	5216	0	5	135	1	20	20	20	20	20	1		50336	98560		1		
金军新兵	0	5216	0	5	135	1	20	20	20	20	20	1		50400	98496		1		
金军新兵	0	5216	0	5	135	1	20	20	20	20	20	1		50464	98432		1		
金军新兵	0	5216	0	5	135	1	20	20	20	20	20	1		50528	98368		1		
金军新兵	0	5216	0	5	135	1	20	20	20	20	20	1		50592	98304		1		
金军新兵	0	5216	0	5	135	1	20	20	20	20	20	1		50368	98688		1		
金军新兵	0	5216	0	5	135	1	20	20	20	20	20	1		50464	98784		1		
金军新兵	0	5216	0	5	135	1	20	20	20	20	20	1		50560	98880		1		
金军新兵	0	5216	0	5	135	1	20	20	20	20	20	1		50656	98976		1		
练习木桩	0	5170	0	0	135	1	20	20	20	20	20	1		50560	98240		1		
练习木桩	0	5170	0	0	135	1	20	20	20	20	20	1		50304	98496		1		
练习木桩	0	5170	0	0	135	1	20	20	20	20	20	1		50368	98432		1		
练习木桩	0	5170	0	0	135	1	20	20	20	20	20	1		50432	98368		1		
练习木桩	0	5170	0	0	135	1	20	20	20	20	20	1		50496	98304		1		
练习木桩	0	5170	0	0	135	1	20	20	20	20	20	1		50336	98752		1		
练习木桩	0	5170	0	0	135	1	20	20	20	20	20	1		50432	98848		1		
练习木桩	0	5170	0	0	135	1	20	20	20	20	20	1		50528	98944		1		
练习木桩	0	5170	0	0	135	1	20	20	20	20	20	1		50624	99040		1		
囤粮	0	5217	4	6	135	1	20	20	20	20	20	1		53184	100288		1		
囤粮	0	5217	4	6	135	1	20	20	20	20	20	1		53248	100224		1		
囤粮	0	5217	4	6	135	1	20	20	20	20	20	1		53312	100288		1		
囤粮	0	5217	4	6	135	1	20	20	20	20	20	1		53248	100352		1		
囤粮	0	5217	4	6	135	1	20	20	20	20	20	1		53312	100416		1		
囤粮	0	5217	4	6	135	1	20	20	20	20	20	1		53376	100480		1		
囤粮	0	5217	4	6	135	1	20	20	20	20	20	1		53440	100544		1		
囤粮	0	5217	4	6	135	1	20	20	20	20	20	1		53504	100608		1		
囤粮	0	5217	4	6	135	1	20	20	20	20	20	1		53376	100352		1		
囤粮	0	5217	4	6	135	1	20	20	20	20	20	1		53440	100416		1		
囤粮	0	5217	4	6	135	1	20	20	20	20	20	1		53504	100480		1		
囤粮	0	5217	4	6	135	1	20	20	20	20	20	1		53568	100544		1		
囤粮	0	5217	4	6	135	1	20	20	20	20	20	1		54240	100192		1		
囤粮	0	5217	4	6	135	1	20	20	20	20	20	1		54176	100288		1		
囤粮	0	5217	4	6	135	1	20	20	20	20	20	1		54144	99744		1		
囤粮	0	5217	4	6	135	1	20	20	20	20	20	1		54208	99808		1		
囤粮	0	5217	4	6	135	1	20	20	20	20	20	1		54112	99808		1		
囤粮	0	5217	4	6	135	1	20	20	20	20	20	1		54176	99872		1		
囤粮	0	5217	4	6	135	1	20	20	20	20	20	1		54240	99936		1		
囤粮	0	5217	4	6	135	1	20	20	20	20	20	1		54048	99872		1		
囤粮	0	5217	4	6	135	1	20	20	20	20	20	1		54112	99936		1		
囤粮	0	5217	4	6	135	1	20	20	20	20	20	1		54176	100000		1		
囤粮	0	5217	4	6	135	1	20	20	20	20	20	1		54240	100064		1		
