TRAPX	TRAPY
51584	117632
51648	118112
52192	117664
51872	117568
51968	117312
52096	117056
51712	117312
51872	117024
51776	118368
51968	118368
52096	118112
51744	117824
52000	117824
51872	118080
52224	117312
53184	122848
53120	122336
53632	121760
53408	121728
53728	122368
53664	122816
53280	122528
53536	122528
53408	122784
53408	122272
53504	122016
53248	122016
53312	123104
53536	123072
54208	118688
53952	118688
54112	118432
54016	119776
53888	119520
54208	119744
53984	119200
54240	119200
54112	119488
54112	118944
53824	119040
53760	122016
54464	118688
54336	118432
54432	119072
54336	119488
55232	115648
54944	115648
55136	115360
55008	116704
54880	116448
55232	116704
54976	116160
55232	116160
55136	116416
55104	115904
54848	115968
55264	121760
55104	121472
55264	121216
54976	121824
55168	122560
55040	122304
55136	122016
55264	122272
55488	115648
55360	115392
55456	116000
55360	116448
55616	121472
55360	121472
55488	121216
55584	121856
55360	122560
55488	122304
55392	122016
51808	121376
51968	121312
51904	121472
52288	120512
52448	120384
52544	121408
53152	118368
53312	118432
53248	118208
55680	117504
55712	117760
55872	117600
