NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
Môn Phòng Đại Bá	0	274	3	5	60	1	20	20	20	20	20	1		51168	101952		1		
Hỏa Phòng Đại Nương	0	275	3	5	60	1	20	20	20	20	20	1		49376	101216		1		
Bồi Độc Nữ Ni	0	276	3	5	60	1	20	20	20	20	20	1		50208	100896		1		3
Như Ý	0	277	3	5	60	1	20	20	20	20	20	1		53632	101376		1		0
Thủ Lĩnh Cường Tặc	0	278	0	5	25	1	20	20	20	20	20	2	\setting\npc\droprate\droprate003.txt			\setting\map\map_info\jiulaofeng\npc\zihuailinqiangzei.txt	1		1
Thống Lĩnh Thị Vệ	0	279	3	5	60	1	20	20	20	20	20	1		51840	110208		1		
Cừu Tuyết	0	284	3	5	90	1	20	20	20	20	20	1		54656	104416		1		
Hộ Vệ Hành Thương	0	285	0	5	25	1	20	20	20	20	20	2	\setting\npc\droprate\droprate003.txt			\setting\map\map_info\jiulaofeng\npc\jinguoxingshang.txt	1		
Đông Phương Tuần Vệ	0	293	3	5	60	1	20	20	20	20	20	1		52896	110176		1		
Nam Phương Tuần Vệ	0	294	3	5	60	1	20	20	20	20	20	1		51616	111616		1		
Tây Phương Tuần Vệ	0	295	3	5	60	1	20	20	20	20	20	1		50432	110208		1		
Bắc Phương Tuần Vệ	0	296	3	5	60	1	20	20	20	20	20	1		51712	109056		1		
Lý Nguyên Khải	0	464	3	5	60	1	20	20	20	20	20	1		52128	110208		1		
Phó Thông	0	466	3	5	60	1	20	20	20	20	20	1		52256	110336		1		
Tiền Trọng Quang	0	469	3	5	60	1	20	20	20	20	20	1		44256	103008		1		0
Cừu Tuyết	0	677	3	5	60	1	20	20	20	20	20	1		43584	104992		1		
Đao Phủ Ngô Gia Quân	0	678	0	5	25	1	20	20	20	20	20	2	\setting\npc\droprate\droprate003.txt			\setting\map\map_info\jiulaofeng\npc\daofushou.txt	1		
Bộ Thương Ngô Gia Quân	0	679	0	5	25	1	20	20	20	20	20	2	\setting\npc\droprate\droprate003.txt			\setting\map\map_info\jiulaofeng\npc\buqiangshou.txt	1		
Diệp Long Diên	0	471	0	5	25	1	20	20	20	20	20	2	\setting\npc\droprate\droprate003.txt	48096	101696		1		
Chu Quang Chiếu	0	472	0	5	25	1	20	20	20	20	20	2	\setting\npc\droprate\droprate003.txt	47712	100768		1		2
Tiền Thị Phỉ Binh	0	1403	0	5	25	1	20	20	20	20	20	2	\setting\npc\droprate\droprate003.txt			\setting\map\map_info\jiulaofeng\npc\qianshifeibingz.txt	1		3
Ngô Hy Thân Binh	0	1400	3	5	60	1	20	20	20	20	20	1				\setting\map\map_info\jiulaofeng\npc\wuxiqinbing.txt	1		
