TRAPX	TRAPY
54848	109664
54976	109696
54880	109856
54816	110528
55136	110240
55264	110240
55200	110400
54336	112736
54720	110688
54400	109984
54528	109984
54432	110144
54656	110496
54464	109344
54592	109344
54496	109504
54208	112736
54240	112896
53888	112640
53824	112800
53920	113344
54048	113376
53984	113536
53760	112608
53312	116832
53280	116672
53408	116672
53280	116096
53248	115840
53312	115680
53440	113280
53568	113280
53504	113440
53568	112128
53696	112160
53600	112320
52864	116736
52992	116736
52928	116896
53120	116096
53184	116256
52768	115904
52896	115904
52800	116064
52736	114848
52864	114880
52768	115040
53184	115648
52768	113920
52896	113952
52832	114112
52480	113664
52608	113696
52544	113856
52480	114368
52608	114368
52512	114528
52256	114432
52128	114400
52160	114592
51232	113728
51360	113760
51264	113920
51296	114400
51200	114560
51232	113184
51360	113216
51264	113376
50784	113760
50912	113792
50816	113952
51168	114368
50816	113184
50944	113216
50880	113376
