TRAPX	TRAPY
56864	99328
56896	99392
56896	99360
56864	99360
56864	99392
56864	99424
56896	99424
56896	99456
56928	99456
56896	99488
56928	99488
56960	99520
56928	99520
56928	99552
56960	99552
56960	99584
56992	99584
56992	99616
57024	99648
57024	99616
56960	99616
56992	99648
57056	99680
57056	99712
57056	99744
57088	99808
57120	99808
57120	99840
57088	99840
57152	99840
57152	99872
57120	99872
57152	99904
57120	99904
57152	99936
57184	99936
57216	99936
57216	99968
57184	99968
57184	100000
57216	100000
57248	100000
57248	100032
57216	100032
57216	100064
57248	100064
57024	99712
57024	99680
57088	99776
57056	99776
57088	99744
57248	100096
57280	100128
57248	100128
57280	100160
57280	100192
57312	100224
57312	100256
57312	100192
57312	100160
57312	100128
57280	100096
57312	100096
57312	100064
57280	100064
57280	100032
57312	100032
57280	100000
57312	100000
57312	99968
57280	99968
57248	99968
57248	99936
57280	99936
57312	99936
57024	99584
56992	99552
57056	99584
57056	99616
57056	99648
57088	99584
57088	99616
57088	99648
57088	99680
57088	99712
57120	99584
57120	99616
57120	99648
57120	99680
57120	99712
57120	99744
57120	99776
57312	99904
57280	99904
57248	99904
57216	99904
57184	99904
57184	99872
57216	99872
57248	99872
57280	99872
57312	99872
57312	99840
57280	99840
57248	99840
57216	99840
57184	99840
57152	99808
57184	99808
57216	99808
57248	99808
57280	99808
57312	99808
57312	99776
57280	99776
57248	99776
57216	99776
57184	99776
57152	99776
57312	99744
57280	99744
57248	99744
57216	99744
57184	99744
57152	99744
57152	99712
57152	99680
57152	99648
57152	99616
57152	99584
57184	99584
57184	99616
57184	99648
57184	99680
57184	99712
57216	99712
57248	99712
57280	99712
57312	99712
57216	99680
57248	99680
57280	99680
57312	99680
57312	99648
57280	99648
57248	99648
57216	99648
57216	99616
57248	99616
57280	99616
57312	99616
57344	100288
57344	100320
57376	100320
57408	100320
57440	100320
57472	100320
57504	100320
57536	100320
57536	100288
57504	100288
57472	100288
57440	100288
57408	100288
57376	100288
57344	100256
57376	100256
57408	100256
57440	100256
57472	100256
57504	100256
57536	100256
57536	100224
57504	100224
57472	100224
57440	100224
57408	100224
57376	100224
57344	100224
57344	100192
57376	100192
57408	100192
57440	100192
57472	100192
57504	100192
57536	100192
57536	100160
57504	100160
57472	100160
57440	100160
57408	100160
57376	100160
57344	100160
57344	100128
57376	100128
57408	100128
57440	100128
57472	100128
57504	100128
57536	100128
57344	100096
57376	100096
57408	100096
57440	100096
57472	100096
57504	100096
57536	100096
57536	100064
57504	100064
57472	100064
57440	100064
57408	100064
57376	100064
57344	100064
57344	100032
57376	100032
57408	100032
57440	100032
57472	100032
57504	100032
57536	100032
57344	100000
57376	100000
57408	100000
57440	100000
57472	100000
57504	100000
57536	99968
57536	100000
57504	99968
57472	99968
57440	99968
57408	99968
57376	99968
57344	99968
57344	99936
57376	99936
57408	99936
57440	99936
57472	99936
57504	99936
57536	99936
57536	99904
57536	99872
57536	99840
57536	99808
57536	99776
57536	99744
57504	99904
57472	99904
57440	99904
57408	99904
57376	99904
57344	99904
57344	99872
57376	99872
57408	99872
57440	99872
57472	99872
57504	99872
57504	99840
57472	99840
57440	99840
57408	99840
57376	99840
57344	99840
57344	99808
57376	99808
57408	99808
57440	99808
57472	99808
57504	99808
57504	99776
57472	99776
57440	99776
57408	99776
57376	99776
57344	99776
57504	99744
57472	99744
57440	99744
57408	99744
57376	99744
57344	99744
57344	99712
57376	99712
57408	99712
57440	99712
57472	99712
57504	99712
57344	99680
57376	99680
57408	99680
57440	99680
57472	99680
57504	99648
57504	99680
57472	99648
57440	99648
57408	99648
57376	99648
57344	99648
57344	99616
57376	99616
57408	99616
57440	99616
57440	99584
57472	99584
57472	99616
57504	99616
57504	99584
57376	100352
57376	100384
57408	100416
57408	100448
57440	100480
57440	100512
57472	100544
57472	100576
57504	100608
57504	100640
57504	100672
57536	100576
57536	100544
57504	100544
57472	100512
57504	100512
57536	100512
57472	100480
57504	100480
57536	100480
57440	100448
57472	100448
57504	100448
57536	100448
57440	100416
57472	100416
57504	100416
57536	100416
57408	100384
57440	100384
57472	100384
57504	100384
57536	100384
57408	100352
57440	100352
57472	100352
57504	100352
57536	100352
