TRAPX	TRAPY
51488	121184
51360	121440
51616	121440
51488	121632
51360	121920
51552	121984
51424	122368
51648	122368
52064	120672
51840	120864
51712	121120
51968	121120
51840	121312
52192	120864
51744	121792
51904	121664
52160	121376
51936	122144
52128	121952
52320	120672
53184	118560
53056	118816
53184	119008
52928	119200
52800	119456
53056	119456
52928	119648
53152	119936
53024	120192
53152	120384
53696	113408
53568	113664
53696	113856
53472	114208
53344	114464
53600	114464
53472	114656
53728	114976
53312	118816
53600	118944
53472	119200
53728	119200
53600	119392
53600	119776
53280	120192
53472	120032
53728	120032
53600	120224
53600	122496
53472	122752
53728	122752
53696	122112
53600	122944
53824	113664
53984	113952
53856	114208
54112	114208
53984	114400
53856	114720
53984	114976
53856	115168
54144	114688
54112	121344
53984	121600
54240	121600
54112	121792
54080	122336
53952	122592
54208	122592
54080	122784
53824	121856
53952	122112
53824	122304
54272	114432
54400	114688
54272	114880
54400	121824
54272	122080
54528	122080
54400	122272
55264	118880
55744	115520
55584	114816
55456	115072
55712	115072
55584	115264
55616	115776
55744	115968
55552	117856
55424	118112
55680	118112
55552	118304
55712	118752
55392	118624
55520	118880
55392	119072
55744	119200
55744	121632
55744	122656
55616	121888
55744	122080
55520	122112
55648	122368
56032	115008
55904	115264
56160	115264
56032	115456
56256	115616
55968	116096
55840	116352
56096	116352
55968	116544
55872	115776
56128	115872
56256	116064
56160	117920
56032	118176
56288	118176
56160	118368
55840	118496
55968	118752
55840	118944
55872	119456
56192	118976
56064	119232
56032	121120
55904	121376
56160	121376
56032	121568
56160	121888
56032	122144
56288	122144
56160	122336
55872	122400
56000	122656
55872	122848
55872	121888
56256	122624
56384	115872
56384	122816
