TRAPX	TRAPY
61952	106016
61952	106048
61984	106080
61952	106080
61984	106112
62016	106144
61984	106144
62016	106176
62048	106176
62048	106208
62016	106208
62048	106240
62080	106240
62080	106208
62112	106240
62112	106272
62080	106272
62112	106304
62144	106336
62144	106272
62144	106240
61920	105792
61920	105824
61920	105888
61920	105856
61920	105920
61920	105952
61920	105984
61920	106016
61920	106048
61888	105792
61888	105824
61888	105856
61888	105888
61888	105920
61888	105952
61888	105984
61888	106016
61888	105760
