TRAPX	TRAPY
56800	122848
56800	122816
56768	122848
56768	122816
56768	122784
56800	122784
56800	122752
56768	122752
56800	122720
56736	122848
56736	122816
56736	122848
56704	122848
56800	122880
56768	122880
57024	122656
56992	122656
56992	122688
56960	122656
56960	122688
56960	122720
56928	122688
56928	122688
56896	122688
56896	122720
56896	122752
56864	122720
56832	122752
56864	122784
56832	122784
56832	122816
56864	122816
56832	122816
56832	122688
56896	122688
56896	122656
56960	122656
56928	122624
56992	122624
56960	122624
57024	122624
57024	122656
57024	122592
56992	122592
56960	122592
56928	122592
56896	122624
56864	122656
