TRAPX	TRAPY
60352	116576
60352	116032
60224	116416
60224	116864
60352	117120
60864	113184
60736	113536
60736	114016
60864	114272
60864	113728
60864	116032
60800	116416
60480	116320
60608	116576
60736	115776
60608	116032
60512	115776
60736	116864
60608	117120
60480	116832
60832	118688
60800	119744
60800	119264
60672	119520
60672	118976
60544	119328
60544	119808
60672	120064
61376	113152
61312	113536
60992	113472
61248	112896
61120	113152
61024	112896
61248	114016
61120	114272
60992	113952
61120	113728
61056	118720
61184	118976
61120	119328
60928	119520
60928	118976
61056	119808
60928	120064
61728	107488
61856	107200
61824	106656
61728	107008
61856	107744
62240	106368
62016	106368
62368	106624
62304	107008
62208	107488
61984	107424
61984	106944
62112	107200
62112	106624
62080	107744
62368	111136
62368	110656
62368	115648
62112	115648
62272	115392
61984	116480
62240	116448
62240	115936
62368	116192
62112	116192
61984	116032
62112	116736
62368	116736
62400	119776
62400	119232
62272	119584
62304	120064
62432	120320
62848	110016
62720	110272
62464	110304
62656	110016
62944	110656
62496	111392
62848	111136
62720	111392
62624	111072
62624	110592
62752	110848
62496	110848
62624	115648
62496	115392
62560	116032
62496	116480
62912	119232
62848	119584
62528	119520
62656	119776
62784	118976
62656	119232
62560	118944
62784	120064
62656	120320
62528	120000
62976	110272
63456	113472
63200	113472
63392	113184
63104	114304
63232	114560
63456	114560
63360	114240
63360	113760
63232	114016
63104	113824
63712	113472
63584	113216
63680	113824
63584	114304
63488	114016
63936	116288
63936	116768
64448	115680
64224	115648
64192	116704
64192	116224
64320	116480
64064	116480
64320	115936
64064	115936
64064	117024
64448	116768
64320	117024
64384	118656
64096	119776
64352	119712
64352	119232
64480	119488
64224	119488
64480	118944
64192	118944
64096	119296
64224	120032
64480	120032
64480	121632
64224	121632
64416	121344
64128	122464
64256	122720
64480	122720
64384	122400
64384	121920
64256	122176
64128	121984
64896	112224
64768	112576
64768	113056
64896	113312
64896	112768
64576	115936
64512	116288
64608	118688
64736	118944
64672	119296
64608	119776
64736	121632
64608	121376
64704	121984
64608	122464
64512	122176
65408	112224
65344	112576
65024	112512
65280	111968
65152	112224
65056	111936
65280	113056
65152	113312
65024	112992
65152	112768
65824	114528
65952	115488
66016	114880
65568	115616
65824	115616
65696	115296
65696	114816
65824	115072
65568	115072
65952	116032
65728	116032
65952	118752
65920	119296
65792	119552
65760	119008
65664	119392
65664	119840
65792	120096
65920	119808
65952	121728
65664	122848
65920	122784
65920	122272
65792	122528
65792	121984
65664	122368
65792	123104
66464	114400
66336	114656
66240	114400
66080	114528
66528	115040
66464	115488
66208	115456
66208	114944
66336	115200
66080	115200
66080	115744
66336	115744
66240	116128
66496	116128
66080	116352
66176	118752
66304	119008
66240	119392
66048	119552
66048	119008
66176	119840
66048	120096
66176	121728
66304	121984
66240	122368
66176	122848
66048	122528
66048	121984
66048	123104
66592	114656
64160	109248
64128	109536
64320	109440
64896	108928
64800	109152
64992	109184
65344	109632
65184	109696
