TRAPX	TRAPY
58240	118624
58208	118336
58272	118944
58080	118784
58624	118080
58816	118304
58848	118656
58464	118208
58496	118624
58656	118496
58400	119168
58816	118912
58688	119200
58592	118976
58976	118592
59040	119552
59136	119264
59104	118880
58976	119040
58880	119360
60320	117088
60256	117440
60288	118304
60384	117888
60160	117792
60864	116416
60704	116352
60544	116128
60608	116640
60480	116448
60832	116736
60768	117056
60608	116960
60448	116832
60736	117440
60576	117312
60544	117632
60576	118080
60736	117824
60800	118080
61856	119648
61856	120064
61696	119872
61696	120288
61920	120576
61856	126176
62304	117056
62144	116832
62240	117344
62080	117152
62048	117536
62336	117696
62304	119712
62112	119872
62304	120096
62112	120256
62336	120576
62656	116800
62912	117472
62752	117280
62560	117088
62464	116768
62464	117504
62752	117664
62944	117184
62592	117824
62688	119648
62880	119840
62496	119840
62720	120064
62496	120288
62912	120288
62752	120544
62528	120704
63072	117344
63136	117696
63360	117696
63360	117472
62976	117856
63040	119680
63072	120064
