TRAPX	TRAPY
57984	110880
58368	111168
58816	110720
58816	111616
59328	110816
59456	113696
59840	113664
60224	110368
59904	110272
60000	111104
60320	110976
60352	111616
60128	111904
59936	112832
60032	113312
60896	110528
60864	109824
60608	111104
60448	112608
60736	112352
61152	110816
60928	111968
54016	122432
54208	123744
54752	121312
54560	121760
54432	122080
54368	123136
54784	121632
55072	122368
54976	124160
55552	123328
55424	124288
56256	121472
56128	123552
55840	123872
56672	121664
56768	122112
56320	123776
56608	123520
56576	122976
54432	123264
54912	123712
54976	122368
55712	122912
56032	122560
59584	110528
59840	109792
59520	109696
59808	111296
59392	112224
