TRAPX	TRAPY
63552	103488
63552	103520
63552	103552
63552	103584
63552	103616
63552	103648
63552	103680
63552	103712
63552	103744
63552	103776
63552	103808
63552	103840
63552	103872
63552	103904
63552	103936
63552	103968
63552	104000
63552	104032
63552	104064
63552	104096
63552	104128
63552	104160
63552	104192
63552	104416
63552	104384
63552	104352
63552	104320
63552	104288
63552	104256
63552	104224
63520	104416
63520	104384
63520	104352
63520	104320
63520	104288
63520	104256
63520	104224
63520	104192
63520	103488
63520	103520
63520	103552
63520	103584
63520	103616
63520	103648
63520	103680
63520	103712
63520	103744
63520	103776
63520	103808
63520	103840
63520	103872
63520	103904
63520	103936
63520	103968
63520	104000
63520	104032
63520	104064
63520	104096
63520	104128
63520	104160
63552	104800
63552	104768
63552	104736
63552	104704
63552	104672
63552	104640
63552	104608
63552	104576
63552	104544
63552	104512
63552	104480
63552	104448
63520	104864
63520	104832
63520	104800
63520	104768
63520	104736
63520	104704
63520	104672
63520	104640
63520	104608
63520	104576
63520	104544
63520	104512
63520	104480
63520	104448
