TRAPX	TRAPY
66016	109280
66016	109248
65984	109216
65984	109248
65984	109280
65984	109312
65952	109184
65952	109216
65952	109248
65952	109280
65920	109120
65920	109152
65920	109184
65920	109216
65888	109088
65888	109120
65888	109152
65888	109184
65856	109056
65856	109088
65856	109120
65856	109152
65824	109024
65824	109056
65824	109088
65824	109120
65792	108992
65792	109024
65792	109056
65792	109088
65760	108960
65760	108992
65760	109024
65760	109056
65728	108928
65728	108960
65728	108992
65728	109024
65696	108896
65696	108928
65696	108960
65696	108992
65664	108928
65664	108960
65632	108960
