TRAPX	TRAPY
50048	114592
50144	114048
50048	115616
50048	114848
50048	115104
50048	115360
50048	116992
50048	117248
50048	117504
50048	116736
50048	117760
50048	119744
50048	120768
50048	120000
50048	120256
50048	120512
50656	113600
50656	113344
50176	113504
50240	113248
50400	113536
50464	113312
50656	113856
50304	114656
50176	114336
50208	113792
50464	113856
50400	114112
50432	114368
50656	114144
50304	115680
50304	114912
50304	115168
50304	115424
50528	114944
50528	115200
50528	115456
50528	114688
50528	115712
50304	117152
50304	117408
50304	117664
50304	116896
50528	116992
50528	117248
50528	117504
50528	116736
50304	117920
50528	117760
50304	119680
50528	119776
50304	120704
50304	119936
50304	120192
50304	120448
50528	120800
50528	120032
50528	120288
50528	120544
50912	113536
50912	113280
50912	114304
50912	113792
50912	114048
50688	114432
51136	114464
51136	114112
50816	114976
50816	115488
50816	114720
51072	114720
51072	115040
51072	115360
50848	115232
51008	116640
50816	115744
50784	117120
50784	117376
50784	117632
50784	116864
51008	117664
51008	116896
51008	117152
51008	117408
50784	117888
51008	119744
50784	120064
50784	120320
50784	120576
50784	119808
51008	120768
51008	120000
51008	120256
51008	120512
50784	120832
51552	115328
51552	115584
51552	115072
51552	116096
51552	115840
51520	117568
51520	118592
51520	117824
51520	118080
51520	118336
51328	118208
51360	118528
51328	117888
51360	122176
51360	122432
51360	122688
51360	121920
51616	122240
51616	122496
51616	122752
51616	121984
51360	122944
51616	123008
52032	115392
52032	115648
52032	115136
51776	115520
51776	115264
52032	116160
52032	115904
51776	116288
51776	115776
51776	116032
51744	117728
51744	117472
51968	117600
52192	117696
51968	117408
51744	118496
51744	117984
51744	118240
51968	118624
51968	117856
51968	118112
51968	118368
52192	118464
52192	117952
52192	118208
51744	118880
51808	122208
51808	122464
51808	122720
51808	121952
52032	122176
52032	122432
52032	122688
52032	121920
51808	122976
52032	122944
52480	115488
52480	115232
52256	115584
52256	115328
52480	116256
52480	115744
52480	116000
52256	116352
52256	115840
52256	116096
52384	117888
52288	122272
52288	122528
52288	122784
52288	122016
52288	123040
53120	118752
53120	119008
53120	119264
53120	119520
53120	119776
53184	121760
53184	121504
53184	122016
53184	122272
53184	122528
53344	119136
53344	119392
53344	119648
53344	118880
53632	119072
53632	119328
53632	119584
53632	118816
53344	119904
53632	119840
53664	121760
53664	121504
53440	121664
53664	122016
53664	122272
53664	122528
53440	121920
53440	122176
53440	122432
53440	122688
54144	119232
54144	119488
54144	119744
54144	118976
53888	119232
53888	119488
53888	119744
53888	118976
54144	120000
53888	120000
54144	121696
54144	121440
53920	121792
53920	121536
54144	121952
54144	122208
54144	122464
53920	122048
53920	122304
53920	122560
54720	118592
54720	118336
54720	118848
54720	119104
54720	119360
55136	118560
55136	118304
54912	118688
54912	118432
55136	118816
55136	119072
55136	119328
54912	118944
54912	119200
54912	119456
55392	118656
55392	118400
55648	118560
55648	118304
55392	118912
55392	119168
55392	119424
55648	118816
55648	119072
55648	119328
