TRAPX	TRAPY
50112	111776
50112	111808
50112	111840
50112	111872
50112	111904
50112	111936
50112	111968
50112	112000
50112	112032
50112	112064
50112	112096
50112	112128
50112	112160
50112	112192
50112	112192
50112	112224
50112	112256
50112	112288
50080	112288
50080	112320
50112	112320
50144	111776
50144	111808
50144	111840
50144	111872
50144	111904
50144	111936
50144	111968
50144	112000
50144	112032
50144	112064
50144	112096
50144	112128
50144	112160
50144	112192
50144	112224
50144	112256
50144	112288
50144	112320
