TRAPX	TRAPY
49984	105280
49984	105312
49984	105376
49984	105344
49984	105408
49984	105440
50016	105248
50016	105280
50016	105312
50016	105344
50016	105376
50016	105408
50016	105440
49984	105472
49984	105504
49984	105536
49984	105568
49984	105600
49984	105632
49984	105664
49984	105696
49984	105760
49984	105728
49984	105792
49984	105856
49984	105824
49984	105888
49984	105920
50016	105472
50016	105504
50016	105536
50016	105568
50016	105600
50016	105632
50016	105664
50016	105696
50016	105760
50016	105728
50016	105792
50016	105824
50016	105856
50016	105888
50016	105920
50016	105952
50016	105984
