TRAPX	TRAPY
54240	131008
54240	131040
54240	131008
54240	131104
54240	131136
54240	131168
54208	131168
54208	131200
54208	131232
54208	131168
54240	131200
54240	131232
54240	131264
54240	131296
54240	131328
54240	131360
54240	131392
54240	131424
54240	131456
54240	131488
54208	131264
54208	131296
54208	131328
54208	131360
54208	131392
54208	131424
54208	131456
54208	131136
54240	131104
54240	131072
54240	131072
54304	131040
54272	131040
54272	131040
54304	131072
54304	131104
54272	131104
54272	131072
54272	131136
