TRAPX	TRAPY
42976	98528
43360	98176
43456	98400
43168	98528
43072	98752
43360	99232
43168	99232
43264	99456
43552	98176
43904	98272
44000	98496
43808	98848
43712	99072
43616	98848
44448	95424
44352	95648
44256	95424
44352	96096
44448	96320
44096	98272
44832	95744
44736	95968
44640	95744
44544	96096
44928	96480
44832	96704
44736	96480
45248	96064
45056	96064
45152	96288
45888	86976
45696	86976
46016	87488
45792	87200
45888	88000
45696	88000
45792	88224
45984	90624
45888	91168
45696	91168
45792	91392
46048	91872
46560	87040
46368	87040
46464	87264
46560	87904
46368	87904
46208	87488
46112	87712
46464	88128
46176	90624
46080	90848
46464	90816
46560	91040
46240	91872
46144	92096
46464	91488
46560	91712
46656	90816
46656	91488
47040	96160
46944	95936
46976	96576
46880	96800
46784	96576
47008	97376
46912	97600
46816	97376
47136	95936
47424	96576
47328	96800
47232	96576
47488	97280
47392	97504
47296	97280
47840	93280
47744	93504
47648	93280
48096	93216
48032	93824
47840	93824
47936	94048
47936	100128
48032	100352
47872	100672
47776	100896
47680	100672
47872	101408
47776	101632
47680	101408
48288	93216
48192	93440
48608	93760
48512	93984
48416	93760
48416	94336
48320	94560
48224	94336
48128	100128
48320	100800
48224	101024
48128	100800
48352	101440
48256	101664
48160	101440
50144	91008
49952	91008
50048	91232
49856	93696
50048	93696
49952	93920
49920	94560
49824	94336
50016	94336
50016	95136
49824	95136
49920	95360
50496	90944
50592	91168
50368	91776
50464	91552
50272	91552
50304	93696
50496	93696
50400	93920
50464	94592
50368	94368
50560	94368
50560	95232
50464	95456
50368	95232
51008	91008
50688	90944
51104	91232
50880	91776
50784	91552
50976	91552
50880	93728
51072	93728
50976	93952
51040	94336
51136	94560
51072	95104
50880	95104
50976	95328
51200	91008
51232	94336
42112	100736
42048	101120
42272	101152
42144	101504
42432	101504
43232	101888
43392	101440
43520	101856
46304	101216
46304	100768
46560	100960
46304	101664
46560	101536
48096	90752
48096	91200
48288	91072
48256	91552
48896	96288
48960	96832
49152	96416
49216	96992
49600	99296
49984	98304
49696	98784
49888	99200
49984	98784
50272	98112
50496	98528
50208	98688
