TRAPX	TRAPY
57152	128960
57248	128672
57088	128448
56928	128672
57280	129824
57280	129216
57152	129536
56896	129568
57024	129824
57024	129216
56864	129024
57376	128416
57504	128672
57408	129568
57472	129088
58720	123744
58656	124608
58784	124864
58784	124256
58656	124096
58848	126464
58688	126688
58656	127584
58784	127840
58784	127232
58624	127040
58816	130016
58688	129760
58784	129472
58656	129248
58560	130016
58432	129824
58496	129472
58816	130624
58720	130336
58464	130368
58592	130624
59136	123488
59264	123744
59008	123744
58880	123520
59168	124640
59040	124896
59040	124256
58944	124608
59264	124160
58912	124000
59136	126432
59264	126688
59008	126688
59168	127584
59040	127840
59040	127232
58912	127552
59232	127104
58912	126976
59040	129888
58912	129216
59040	129472
58944	130368
60384	125920
60256	125664
60352	125408
60224	125184
60128	125920
60000	125760
60064	125408
60384	126560
60288	126272
60032	126304
60160	126560
60288	128704
60384	128416
60256	128192
60160	128960
60032	128768
60096	128416
60320	129280
60032	129312
60160	129568
60608	125824
60480	125152
60608	125408
60512	126304
60416	128960
60640	128832
60512	128160
60640	128416
60544	129312
60416	129568
61184	118752
61344	119520
61216	119264
61312	118976
61088	119520
60960	119328
61024	118976
61344	120128
61248	119840
60992	119872
61120	120128
61376	122528
61216	122368
61280	122016
61248	122912
61376	123168
61408	129760
61376	129216
61440	118720
61568	119392
61568	118976
61472	119872
61728	121760
61440	121792
61632	122528
61824	122432
61504	122272
61856	122016
61600	122016
61728	122912
61600	123168
61504	122880
61888	125824
61664	125568
61824	125344
61600	125920
61888	126432
61632	126432
61760	126688
61760	126080
61888	128608
61760	128864
61600	128640
61440	128864
61920	129760
61792	130016
61792	129376
61664	129728
61664	129120
61536	130016
61536	129376
62240	125568
61984	125568
62112	125312
62208	125984
62112	126464
61984	126720
62016	126080
62016	128864
61984	129280
62752	119648
62816	119296
62784	120160
62912	120416
62880	119808
62912	122848
62880	123744
62848	123200
63360	119712
63008	119552
63264	119008
63392	119264
63136	119264
62976	119072
63264	120160
63136	120416
63136	119808
63040	120160
63232	122848
63360	122592
63072	122624
63392	123744
63456	123264
63264	123392
63136	123712
63136	123136
63008	123392
63264	124000
63008	124000
63296	128800
63232	129568
63072	129376
63136	129024
63360	129312
63456	129024
63104	129920
63360	129888
63232	130176
63456	130176
63488	122848
63840	126048
63936	126560
63808	126944
63776	126400
63936	127200
63584	128768
63872	128864
63488	129568
63584	129920
63648	129440
63712	129088
63904	129344
63776	129600
63936	129952
63808	130208
64352	117632
64320	118528
64448	118144
64288	117984
64448	118784
64352	120672
64416	121760
64160	121760
64416	121152
64288	121408
64128	121248
64192	120896
64288	122016
64288	125792
64000	125824
64160	126048
64416	126048
64320	126944
64192	126560
64064	126912
64384	126464
64064	126304
64192	127200
64128	128832
64032	129600
64256	129504
64000	129088
64160	129984
64256	129088
64032	130240
64800	117376
64928	117632
64672	117632
64512	117408
64832	118528
64704	118144
64576	118496
64896	118048
64576	117888
64704	118784
64640	120608
64640	121792
64544	121408
64736	121312
64512	120864
64768	120864
64512	122048
64928	123712
64864	123200
64704	123424
64640	123776
64800	123968
64928	124288
64672	124320
64800	124576
65024	123424
65248	123840
65280	123424
65152	123168
65056	123968
65056	124576
65184	124320
64352	116128
64192	116288
64192	116064
65312	116128
65152	115904
65152	116128
