TRAPX	TRAPY
52608	104384
52512	104576
52608	104832
52736	104608
53312	106144
53568	106304
53696	106464
53696	106176
53728	105760
53600	105952
53280	107200
53312	106784
53440	106944
53536	106720
53440	106496
53728	106944
53632	107232
53472	107424
53856	105920
53920	106336
53856	107168
53920	106688
54016	106944
54080	106496
55264	106272
55104	106496
55200	106880
55584	106176
55712	106336
55456	106368
55424	106112
55296	107104
55328	106688
55456	106848
55552	106592
55776	106880
55616	107136
55744	107296
55936	106336
55872	107104
55904	106688
56032	106848
56064	107328
56192	107040
55872	109504
56224	109536
56288	110176
56192	109952
56032	110080
56160	110240
55904	110272
55840	109920
56000	109664
56320	109760
56448	109920
56640	110400
56672	109984
56800	110144
56544	110176
56384	110400
56512	110560
56608	109760
56512	109600
57312	106656
56832	109824
57632	105440
57792	105152
57728	105664
57824	106240
57696	106432
57504	106272
57536	105856
57664	106016
57792	106656
57664	106880
57536	107104
57536	106560
57408	106880
57760	111808
57760	114496
57568	115648
57600	115232
57728	115392
57472	115424
57728	114912
57632	114688
57792	115776
57984	105408
58016	106112
58176	105856
57920	105888
57952	106400
58080	105632
57856	112032
57888	111616
58016	111776
58176	112480
58208	112064
58336	112224
58080	112256
58304	111712
58048	113120
58080	112704
58208	112864
57952	112896
58336	112672
57888	114656
57920	115584
58240	115488
58016	115328
58048	114912
58176	115072
57920	115104
57888	116000
58048	115744
58336	115712
58432	111520
58464	112480
58400	111936
58560	111680
58432	112896
58592	112640
58368	115296
58496	115456
