TRAPX	TRAPY
54144	104864
54144	105120
54752	104320
54272	104864
54272	105120
54400	104832
54400	105088
54528	104800
54528	105088
54912	104160
55072	104000
55424	103584
55552	103552
55424	103744
55552	103744
55744	104512
55648	106432
55648	106208
55488	105600
55648	106624
56032	103936
56128	104032
56224	104160
55936	103840
56160	104544
56288	105088
55840	105152
56224	106368
55808	106400
55808	106176
55808	106624
56352	104288
56480	104448
56608	104544
56704	104672
56800	104768
56320	106240
56416	106112
56512	105984
56608	105856
56704	105728
56800	105632
57184	105088
57184	105312
