NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
Bùi Viễn	0	3501	3	5	30	1	20	20	20	20	20	1		58944	116256		1		
Tịch Huyễn	0	3507	3	5	30	1	20	20	20	20	20	1		58560	115840		1		
Đường Tế Dân	0	3513	3	5	30	1	20	20	20	20	20	1		59392	117088		1		
Biên Nhất Xuân	0	3519	3	5	30	1	20	20	20	20	20	1		59520	116480		1		
Huyền Tịnh	0	3525	3	5	30	1	20	20	20	20	20	1		59936	116480		1		
Tô Nhã	0	3531	3	5	30	1	20	20	20	20	20	1		60000	115872		1		
La Tuấn	0	3537	3	5	30	1	20	20	20	20	20	1		60032	115136		1		
Tạ Phi Kinh	0	3543	3	5	30	1	20	20	20	20	20	1		60704	115232		1		
Minh Tuệ	0	3549	3	5	30	1	20	20	20	20	20	1		60832	114624		1		
Quy Kinh Tinh	0	3555	3	5	30	1	20	20	20	20	20	1		61312	114624		1		
Điềm Tửu Thúc	0	3561	3	5	60	1	20	20	20	20	20	1		55936	112960		1		
Thẩm Hà Diệp	0	3562	3	5	60	1	20	20	20	20	20	1		56384	112512		1		
Hách Phiêu Tịnh	0	3563	3	5	60	1	20	20	20	20	20	1		56736	112544		1		
Trương Trảm Kinh	0	3564	3	5	60	1	20	20	20	20	20	1		57056	113120		1		
Bất Động Tiên Sinh	0	3565	3	5	60	1	20	20	20	20	20	1		57280	113344		1		
Đại Lão Bạch	0	3566	3	5	60	1	20	20	20	20	20	1		57888	112224		1		
Tạ Hiền	0	3567	3	5	60	1	20	20	20	20	20	1		58336	113216		1		
Trương Tùng Đào	0	3568	3	5	60	1	20	20	20	20	20	1		60288	111680		1		
Mộc Lương	0	3569	3	5	60	1	20	20	20	20	20	1		60256	113152		1		
Bạch Thu Lâm	0	3570	3	5	90	1	20	20	20	20	20	1		56864	114400		1		
Long Ngũ Thái Gia	0	3571	3	5	150	1	20	20	20	20	20	1		57760	115360		1		
Thị Vệ Nghĩa Quân	0	3572	5	5	60	1	20	20	20	20	20	1				\setting\map\map_info\longmenzhen\npc\yijunshiwei.txt	1		
Bao Vạn Đồng	0	3573	3	5	60	1	20	20	20	20	20	1		56032	114816		1		
Thuyền Phu	0	2598	3	5	60	1	20	20	20	20	20	3		58112	116576		1		
Dã Luyện Đại Sư	0	3574	3	5	60	1	20	20	20	20	20	3		58528	110336		1		2
Diệp Chỉ Lâm	0	3576	3	5	60	1	20	20	20	20	20	3		56544	116960		1		
Xa Phu	0	2597	3	5	60	1	20	20	20	20	20	3		54240	107776		1		
Xa Phu	0	2597	3	5	60	1	20	20	20	20	20	3		53856	115424		1		
Trâu Đức Khoái	0	2599	3	5	60	1	20	20	20	20	20	3		53888	107648		1		
Trâu Đức Khoái	0	2599	3	5	60	1	20	20	20	20	20	3		54560	115392		1		
Trâu Đức Khoái	0	2599	3	5	60	1	20	20	20	20	20	3		55776	113920		1		
Lễ Quan	0	2601	3	5	60	1	20	20	20	20	20	3		56352	110912		1		
Diệp Hiểu Thoa	0	7156	3	5	60	1	20	20	20	20	20	3		0	0		1		
Rương cũ nát 1	0	3578	3	5	1	1	20	20	20	20	20	3		57920	113600		1		
Rương cũ nát 2	0	3579	3	5	1	1	20	20	20	20	20	3		58048	113472		1		
Rương cũ nát 3	0	3580	3	5	1	1	20	20	20	20	20	3		58240	113472		1		
Rương kỳ lạ	0	3581	3	5	1	1	20	20	20	20	20	3		58528	113184		1		
to_fengxiangfu	1															\setting\map\map_info\longmenzhen\trap\to_fengxiangfu.txt			
to_kunlunpai	1															\setting\map\map_info\longmenzhen\trap\to_kunlunpai.txt			
to_longmenkezhan	1															\setting\map\map_info\longmenzhen\trap\to_longmenkezhan.txt			
to_qilianshan	1															\setting\map\map_info\longmenzhen\trap\to_qilianshan.txt			
Phượng Tường Phủ	0	2525	4	5	1	1	20	20	20	20	20	1		55904	119744		1		
Côn Lôn Phái	0	2525	4	5	1	1	20	20	20	20	20	1		53952	119744		1		
Quán Trọ Long Môn	0	2525	4	5	1	1	20	20	20	20	20	1		51136	113920		1		
Kỳ Liên Sơn	0	2525	4	5	1	1	20	20	20	20	20	1		51040	117984		1		
Đoàn Tu Tịnh	0	3480	3	5	30	1	20	20	20	20	20	1		58496	114464		1		
Đồng Lăng	0	3474	3	5	30	1	20	20	20	20	20	1		59072	113792		1		
Quan Quân Nhu (nghĩa quân)	0	2711	3	5	60	1	20	20	20	20	20	1		55968	114912		1		
Cổ Phong Hà	0	3601	3	5	60	1	20	20	20	20	20	1		58912	113056		1		3
6001	0	6001	5	5	1	1	20	20	20	20	20	1		57248	111040				
6002	0	6002	5	5	1	1	20	20	20	20	20	1		57184	111104				
6002	0	6002	5	5	1	1	20	20	20	20	20	1		57088	111072				
6003	0	6003	5	5	1	1	20	20	20	20	20	1		57248	111200				
6003	0	6003	5	5	1	1	20	20	20	20	20	1		57216	111104				
6003	0	6003	5	5	1	1	20	20	20	20	20	1		57280	111104				
6003	0	6003	5	5	1	1	20	20	20	20	20	1		57376	111104				
6003	0	6003	5	5	1	1	20	20	20	20	20	1		57408	111072				
6029	0	6029	5	5	1	1	20	20	20	20	20	1		59744	111712				
6030	0	6030	5	5	1	1	20	20	20	20	20	1		55584	113344				
6030	0	6030	5	5	1	1	20	20	20	20	20	1		55840	112416				
6030	0	6030	5	5	1	1	20	20	20	20	20	1		58496	111744				
6030	0	6030	5	5	1	1	20	20	20	20	20	1		60480	111712				
6034	0	6034	5	5	1	1	20	20	20	20	20	1		59328	111616				
6035	0	6035	5	5	1	1	20	20	20	20	20	1		59424	111584				
Hùng Thụy	0	6042	5	5	1	1	20	20	20	20	20	1		56288	113664				
Tiết Đại Bá	0	6043	5	5	1	1	20	20	20	20	20	1		55040	117216				
Lưu Đại Bá	0	6043	5	5	1	1	20	20	20	20	20	1		56288	116288				
Lý Đại Thúc	0	6044	5	5	1	1	20	20	20	20	20	1		56480	114656				
6045	0	6045	5	5	1	1	20	20	20	20	20	1		59104	111520				
6045	0	6045	5	5	1	1	20	20	20	20	20	1		59168	111616				
Lý Đại Ma	0	6054	5	5	1	1	20	20	20	20	20	1		59168	114976				
Trương Đại Gia	0	6057	5	5	1	1	20	20	20	20	20	1		58784	112864				
A Lượng	0	6065	5	5	1	1	20	20	20	20	20	1		58208	111872				
Lý Minh	0	6074	5	5	1	1	20	20	20	20	20	1		51584	113792				
Từ Lỗi	0	6074	5	5	1	1	20	20	20	20	20	1		55968	115904				
Đậu Lỗi	0	6074	5	5	1	1	20	20	20	20	20	1		60448	112096				
Hùng Chiêu	0	6089	5	5	1	1	20	20	20	20	20	1		55520	115520				
Hùng Kỳ	0	6089	5	5	1	1	20	20	20	20	20	1		57280	114080				
Lôi Vũ	0	6090	5	5	1	1	20	20	20	20	20	1		56416	109248				
Trương Đào	0	6091	5	5	1	1	20	20	20	20	20	1		55904	113280				
Hồ Kỳ	0	6092	5	5	1	1	20	20	20	20	20	1		56800	112864				
A Sính	0	6103	5	5	1	1	20	20	20	20	20	1		51776	114432				
A Khải	0	6103	5	5	1	1	20	20	20	20	20	1		52224	116704				
A Thành	0	6103	5	5	1	1	20	20	20	20	20	1		53824	110112				
A Bố	0	6103	5	5	1	1	20	20	20	20	20	1		57536	109632				
Tiểu Tử	0	6110	5	5	1	1	20	20	20	20	20	1		58784	113120				
Tiểu Nặc	0	6112	5	5	1	1	20	20	20	20	20	1		58720	113184				
6045	0	6045	5	5	1	1	20	20	20	20	20	1		54144	107552				
6008	0	6008	5	5	1	1	20	20	20	20	20	1		54176	107616				
6045	0	6045	5	5	1	1	20	20	20	20	20	1		53952	115264				
Thương Nhân Đặc Sản	0	2963	3	5	60	1	20	20	20	20	20	1		59232	111744		1		
to_jiayuguan	1															\setting\map\map_info\longmenzhen\trap\to_jiayuguan.txt			
Gia Dụ Quan	0	2525	4	5	1	1	20	20	20	20	20	1		52928	102272		1		
Vương Thương Ân	0	4042	3	5	90	1	20	20	20	20	20	1		55520	111712		1		
to_dunhuanggucheng	1															\setting\map\map_info\longmenzhen\trap\to_dunhuanggucheng.txt			
Đôn Hoàng Cổ Thành	0	2525	4	5	1	1	20	20	20	20	20	1		51744	106272		1		
to_yueyaquan	1															\setting\map\map_info\longmenzhen\trap\to_yueyaquan.txt			
Nguyệt Nha Tuyền	0	2525	4	5	1	1	20	20	20	20	20	1		52832	109568		1		
Án Nhược Tuyết	0	3603	3	5	60	1	20	20	20	20	20	3		56960	111488		1		
Tần Oa	0	3642	3	5	60	1	20	20	20	20	20	3		53632	117184		1		
Mã Vân	0	3699	3	5	60	1	20	20	20	20	20	1		55584	115744		1		
Tô Mộng Trân	0	7396	3	5	60	1	20	20	20	20	20	3		56832	110368		1		2
Du Tự Ngữ	0	11015	3	5	30	1	20	20	20	20	20	1		58064	114928		1		
