NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
Bùi Viễn	0	3501	3	5	30	1	20	20	20	20	20	1		49664	100960		1		
Tịch Huyễn	0	3507	3	5	30	1	20	20	20	20	20	1		49888	101632		1		
Đường Tế Dân	0	3513	3	5	30	1	20	20	20	20	20	1		48960	101312		1		
Biên Nhất Xuân	0	3519	3	5	30	1	20	20	20	20	20	1		48320	101888		1		
Huyền Tịnh	0	3525	3	5	30	1	20	20	20	20	20	1		47968	100608		1		
Tô Nhã	0	3531	3	5	30	1	20	20	20	20	20	1		47520	100672		1		
La Tuấn	0	3537	3	5	30	1	20	20	20	20	20	1		46976	103296		1		
Tạ Phi Kinh	0	3543	3	5	30	1	20	20	20	20	20	1		46304	102656		1		
Minh Tuệ	0	3549	3	5	30	1	20	20	20	20	20	1		45536	104704		1		
Quy Kinh Tinh	0	3555	3	5	30	1	20	20	20	20	20	1		45696	103616		1		
Điềm Tửu Thúc	0	3561	3	5	60	1	20	20	20	20	20	1		47936	103968		1		
Thẩm Hà Diệp	0	3562	3	5	60	1	20	20	20	20	20	1		48448	103680		1		
Hách Phiêu Tịnh	0	3563	3	5	60	1	20	20	20	20	20	1		48800	103360		1		
Trương Trảm Kinh	0	3564	3	5	60	1	20	20	20	20	20	1		49120	102784		1		
Bất Động Tiên Sinh	0	3565	3	5	60	1	20	20	20	20	20	1		49408	103168		1		
Đại Lão Bạch	0	3566	3	5	60	1	20	20	20	20	20	1		49888	103168		1		
Tạ Hiền	0	3567	3	5	60	1	20	20	20	20	20	1		49984	105088		1		
Trương Tùng Đào	0	3568	3	5	60	1	20	20	20	20	20	1		51168	103168		1		
Mộc Lương	0	3569	3	5	60	1	20	20	20	20	20	1		50464	103936		1		
Bạch Thu Lâm	0	3570	3	5	90	1	20	20	20	20	20	1		48896	104672		1		
Long Ngũ Thái Gia	0	3571	3	5	150	1	20	20	20	20	20	1		49632	104896		1		
Thị Vệ Nghĩa Quân	0	3572	5	5	60	1	20	20	20	20	20	1				\setting\map\map_info\longquancun\npc\yijunshiwei.txt	1		
Bao Vạn Đồng	0	3573	3	5	60	1	20	20	20	20	20	1		50912	105472		1		
Dã Luyện Đại Sư	0	3574	3	5	60	1	20	20	20	20	20	3		50112	108864		1		2
Diệp Chỉ Lâm	0	3576	3	5	60	1	20	20	20	20	20	3		45344	108640		1		
Xa Phu	0	2597	3	5	60	1	20	20	20	20	20	3		51456	106720		1		
Xa Phu	0	2597	3	5	60	1	20	20	20	20	20	3		47392	105440		1		
Trâu Đức Khoái	0	2599	3	5	60	1	20	20	20	20	20	3		49696	104128		1		
Trâu Đức Khoái	0	2599	3	5	60	1	20	20	20	20	20	3		50944	107136		1		
Trâu Đức Khoái	0	2599	3	5	60	1	20	20	20	20	20	3		47808	105504		1		
Lễ Quan	0	2601	3	5	60	1	20	20	20	20	20	3		51648	104096		1		
Diệp Hiểu Thoa	0	7156	3	5	60	1	20	20	20	20	20	3		0	0		1		
